asof,recorded_utc,order_id,perm_id,sleeve,instrument,action,qty
2026-08-31 00:00:00,2026-08-31T21:15:36.453156+00:00,39,0,cef_discount,AWF,SELL,3549.0
2026-08-31 00:00:00,2026-08-31T21:15:36.453841+00:00,40,0,cef_discount,BIT,BUY,4817.0
2026-08-31 00:00:00,2026-08-31T21:15:36.454150+00:00,41,0,cef_discount,DSL,SELL,703.0
2026-08-31 00:00:00,2026-08-31T21:15:36.454402+00:00,42,0,cef_discount,HYT,SELL,411.0
2026-08-31 00:00:00,2026-08-31T21:15:36.454656+00:00,43,0,cef_discount,JFR,BUY,13.0
2026-08-31 00:00:00,2026-08-31T21:15:36.454884+00:00,44,0,cef_discount,MHD,SELL,1041.0
2026-08-31 00:00:00,2026-08-31T21:15:36.455105+00:00,45,0,cef_discount,MQY,BUY,887.0
2026-08-31 00:00:00,2026-08-31T21:15:36.455331+00:00,46,0,cef_discount,NAD,SELL,1904.0
2026-08-31 00:00:00,2026-08-31T21:15:36.455543+00:00,47,0,cef_discount,NEA,SELL,2036.0
2026-08-31 00:00:00,2026-08-31T21:15:36.455760+00:00,48,0,cef_discount,NVG,BUY,1484.0
2026-08-31 00:00:00,2026-08-31T21:15:36.455969+00:00,49,0,cef_discount,NZF,SELL,771.0
2026-08-31 00:00:00,2026-08-31T21:15:36.456193+00:00,50,0,cef_discount,PCN,SELL,3400.0
2026-08-31 00:00:00,2026-08-31T21:15:36.456413+00:00,51,0,cef_discount,PDI,SELL,288.0
2026-08-31 00:00:00,2026-08-31T21:15:36.456625+00:00,52,0,cef_discount,PDO,BUY,5457.0
2026-08-31 00:00:00,2026-08-31T21:15:36.456829+00:00,53,0,cef_discount,PFN,BUY,1160.0
2026-08-31 00:00:00,2026-08-31T21:15:36.457031+00:00,54,0,cef_discount,PHK,BUY,6392.0
2026-08-31 00:00:00,2026-08-31T21:15:36.457235+00:00,55,0,cef_discount,PTY,SELL,2567.0
2026-09-01 00:00:00,2026-09-01T21:15:23.440185+00:00,3,0,cef_discount,AWF,SELL,37.0
2026-09-01 00:00:00,2026-09-01T21:15:23.441461+00:00,4,0,cef_discount,BIT,SELL,145.0
2026-09-01 00:00:00,2026-09-01T21:15:23.441764+00:00,5,0,cef_discount,DSL,SELL,65.0
2026-09-01 00:00:00,2026-09-01T21:15:23.442016+00:00,6,0,cef_discount,HYT,SELL,82.0
2026-09-01 00:00:00,2026-09-01T21:15:23.442263+00:00,7,0,cef_discount,JFR,BUY,40.0
2026-09-01 00:00:00,2026-09-01T21:15:23.442487+00:00,8,0,cef_discount,MHD,BUY,78.0
2026-09-01 00:00:00,2026-09-01T21:15:23.442706+00:00,9,0,cef_discount,MQY,BUY,29.0
2026-09-01 00:00:00,2026-09-01T21:15:23.442927+00:00,10,0,cef_discount,NAD,BUY,62.0
2026-09-01 00:00:00,2026-09-01T21:15:23.443171+00:00,11,0,cef_discount,NEA,BUY,57.0
2026-09-01 00:00:00,2026-09-01T21:15:23.443398+00:00,12,0,cef_discount,NVG,BUY,59.0
2026-09-01 00:00:00,2026-09-01T21:15:23.443618+00:00,13,0,cef_discount,NZF,BUY,44.0
2026-09-01 00:00:00,2026-09-01T21:15:23.443845+00:00,14,0,cef_discount,PCN,SELL,533.0
2026-09-01 00:00:00,2026-09-01T21:15:23.444061+00:00,15,0,cef_discount,PDI,SELL,83.0
2026-09-01 00:00:00,2026-09-01T21:15:23.444287+00:00,16,0,cef_discount,PDO,SELL,86.0
2026-09-01 00:00:00,2026-09-01T21:15:23.444509+00:00,17,0,cef_discount,PFN,SELL,7.0
2026-09-01 00:00:00,2026-09-01T21:15:23.444722+00:00,18,0,cef_discount,PHK,SELL,159.0
2026-09-01 00:00:00,2026-09-01T21:15:23.444933+00:00,19,0,cef_discount,PTY,SELL,51.0
2026-09-04 00:00:00,2026-09-04T21:58:29.353464+00:00,3,0,cef_discount,AWF,BUY,183.0
2026-09-04 00:00:00,2026-09-04T21:58:29.395816+00:00,4,0,cef_discount,BIT,SELL,1295.0
2026-09-04 00:00:00,2026-09-04T21:58:29.396154+00:00,5,0,cef_discount,DSL,SELL,3.0
2026-09-04 00:00:00,2026-09-04T21:58:29.396404+00:00,6,0,cef_discount,HYT,SELL,1388.0
2026-09-04 00:00:00,2026-09-04T21:58:29.396651+00:00,7,0,cef_discount,JFR,SELL,2603.0
2026-09-04 00:00:00,2026-09-04T21:58:29.396877+00:00,8,0,cef_discount,MHD,SELL,2994.0
2026-09-04 00:00:00,2026-09-04T21:58:29.397094+00:00,9,0,cef_discount,MQY,BUY,339.0
