decision_date,ticker,current_shares,target_shares,delta_shares,decision_price,target_weight,reason,status,fill_date
2026-07-30,AWF,0.0,5292.0,5292.0,10.109999656677246,,funding,filled,2026-07-31
2026-07-30,BIT,0.0,3320.0,3320.0,12.199999809265137,,funding,filled,2026-07-31
2026-07-30,DSL,0.0,4426.0,4426.0,10.699999809265137,,funding,filled,2026-07-31
2026-07-30,HYT,0.0,5009.0,5009.0,8.369999885559082,,funding,filled,2026-07-31
2026-07-30,JFR,0.0,-3248.0,-3248.0,7.670000076293945,,funding,filled,2026-07-31
2026-07-30,MHD,0.0,-4822.0,-4822.0,11.539999961853027,,funding,filled,2026-07-31
2026-07-30,MQY,0.0,-2977.0,-2977.0,11.25,,funding,filled,2026-07-31
2026-07-30,NAD,0.0,-6226.0,-6226.0,11.699999809265137,,funding,filled,2026-07-31
2026-07-30,NEA,0.0,-5284.0,-5284.0,11.260000228881836,,funding,filled,2026-07-31
2026-07-30,NVG,0.0,-6337.0,-6337.0,12.449999809265137,,funding,filled,2026-07-31
2026-07-30,NZF,0.0,-3763.0,-3763.0,12.289999961853027,,funding,filled,2026-07-31
2026-07-30,PCN,0.0,5020.0,5020.0,11.68000030517578,,funding,filled,2026-07-31
2026-07-30,PDI,0.0,4390.0,4390.0,16.110000610351562,,funding,filled,2026-07-31
2026-07-30,PDO,0.0,642.0,642.0,13.130000114440918,,funding,filled,2026-07-31
2026-07-30,PFN,0.0,-602.0,-602.0,7.059999942779541,,funding,filled,2026-07-31
2026-07-30,PHK,0.0,0.0,0.0,4.650000095367432,,funding,skipped,2026-07-31
2026-07-30,PTY,0.0,4651.0,4651.0,11.739999771118164,,funding,filled,2026-07-31
2026-07-31,AWF,5292.0,5056.0,-236.0,10.09000015258789,,target,filled,2026-08-03
2026-07-31,BIT,3320.0,3138.0,-182.0,12.229999542236328,,target,filled,2026-08-03
2026-07-31,DSL,4426.0,4409.0,-17.0,10.670000076293944,,target,filled,2026-08-03
2026-07-31,HYT,5009.0,4763.0,-246.0,8.350000381469727,,target,filled,2026-08-03
2026-07-31,JFR,-3248.0,-3267.0,-19.0,7.710000038146973,,target,filled,2026-08-03
2026-07-31,MHD,-4822.0,-4800.0,22.0,11.470000267028809,,target,filled,2026-08-03
2026-07-31,MQY,-2977.0,-2993.0,-16.0,11.199999809265137,,target,filled,2026-08-03
2026-07-31,NAD,-6226.0,-6128.0,98.0,11.710000038146973,,target,filled,2026-08-03
2026-07-31,NEA,-5284.0,-5217.0,67.0,11.270000457763672,,target,filled,2026-08-03
2026-07-31,NVG,-6337.0,-6262.0,75.0,12.399999618530272,,target,filled,2026-08-03
2026-07-31,NZF,-3763.0,-3764.0,-1.0,12.199999809265137,,target,filled,2026-08-03
2026-07-31,PCN,5020.0,4811.0,-209.0,11.640000343322754,,target,filled,2026-08-03
2026-07-31,PDI,4390.0,4235.0,-155.0,16.0,,target,filled,2026-08-03
2026-07-31,PDO,642.0,1481.0,839.0,13.039999961853027,,target,filled,2026-08-03
2026-07-31,PFN,-602.0,-721.0,-119.0,7.079999923706055,,target,filled,2026-08-03
2026-07-31,PHK,0.0,0.0,0.0,4.650000095367432,,target,skipped,2026-08-03
2026-07-31,PTY,4651.0,4580.0,-71.0,11.710000038146973,,target,filled,2026-08-03
2026-08-03,AWF,5056.0,1742.0,-3314.0,10.140000343322754,,target,filled,2026-08-04
2026-08-03,BIT,3138.0,7965.0,4827.0,12.229999542236328,,target,filled,2026-08-04
