sleeve,instrument,kind,current_qty,target_side,target_qty,target_weight,delta_qty,reason
cef_discount,AWF,ETF,1743.0,LONG,,0.039101,,cef discount z=-1.17 w=+0.0391 volscal=1.52
cef_discount,BIT,ETF,8137.0,LONG,,0.164494,,cef discount z=-2.48 w=+0.1645 volscal=1.52
cef_discount,DSL,ETF,3723.0,LONG,,0.07913,,cef discount z=-1.59 w=+0.0791 volscal=1.52
cef_discount,HYT,ETF,4598.0,LONG,,0.053726,,cef discount z=-1.32 w=+0.0537 volscal=1.52
cef_discount,JFR,ETF,-3234.0,SHORT,,-0.090132,,cef discount z=+0.17 w=-0.0901 volscal=1.52
cef_discount,MHD,ETF,-5862.0,SHORT,,-0.201073,,cef discount z=+1.33 w=-0.2011 volscal=1.52
cef_discount,MQY,ETF,-2089.0,SHORT,,-0.038507,,cef discount z=-0.36 w=-0.0385 volscal=1.52
cef_discount,NAD,ETF,-8129.0,SHORT,,-0.15191,,cef discount z=+0.82 w=-0.1519 volscal=1.52
cef_discount,NEA,ETF,-7319.0,SHORT,,-0.159025,,cef discount z=+0.89 w=-0.1590 volscal=1.52
cef_discount,NVG,ETF,-4852.0,SHORT,,-0.113538,,cef discount z=+0.42 w=-0.1135 volscal=1.52
cef_discount,NZF,ETF,-4533.0,SHORT,,-0.006544,,cef discount z=-0.70 w=-0.0065 volscal=1.52
cef_discount,PCN,ETF,2120.0,LONG,,0.01711,,cef discount z=-0.94 w=+0.0171 volscal=1.52
cef_discount,PDI,ETF,4102.0,LONG,,0.116212,,cef discount z=-1.98 w=+0.1162 volscal=1.52
cef_discount,PDO,ETF,6099.0,LONG,,0.189663,,cef discount z=-2.74 w=+0.1897 volscal=1.52
cef_discount,PFN,ETF,559.0,LONG,,0.021747,,cef discount z=-0.99 w=+0.0217 volscal=1.52
cef_discount,PHK,ETF,6392.0,LONG,,0.064558,,cef discount z=-1.44 w=+0.0646 volscal=1.52
cef_discount,PTY,ETF,2084.0,LONG,,0.014987,,cef discount z=-0.92 w=+0.0150 volscal=1.52
