decision_date,ticker,current_shares,target_shares,delta_shares,decision_price,target_weight,reason,status,fill_date
2026-07-30,BKLN,0.0,796.0,796.0,20.3799991607666,,funding,open,
2026-07-30,EMB,0.0,360.0,360.0,94.79000091552734,,funding,open,
2026-07-30,HYG,0.0,541.0,541.0,79.47000122070312,,funding,open,
2026-07-30,IGSB,0.0,763.0,763.0,52.18000030517578,,funding,open,
2026-07-30,JAAA,0.0,-1006.0,-1006.0,50.66999816894531,,funding,open,
2026-07-30,JNK,0.0,961.0,961.0,95.66000366210938,,funding,open,
2026-07-30,LQD,0.0,-43.0,-43.0,106.41000366210938,,funding,open,
2026-07-30,SHYG,0.0,358.0,358.0,42.13999938964844,,funding,open,
2026-07-30,SJNK,0.0,-2579.0,-2579.0,24.850000381469727,,funding,open,
2026-07-30,SPHY,0.0,1072.0,1072.0,23.260000228881836,,funding,open,
2026-07-30,SRLN,0.0,-2485.0,-2485.0,40.38999938964844,,funding,open,
2026-07-30,USHY,0.0,0.0,0.0,36.790000915527344,,funding,open,
2026-07-30,VCIT,0.0,-1231.0,-1231.0,81.37999725341797,,funding,open,
2026-07-30,VCSH,0.0,696.0,696.0,78.66999816894531,,funding,open,
