decision_date,ticker,current_shares,target_shares,delta_shares,decision_price,target_weight,reason,status,fill_date
2026-07-30,BKLN,0.0,796.0,796.0,20.3799991607666,,funding,filled,2026-07-31
2026-07-30,EMB,0.0,360.0,360.0,94.79000091552734,,funding,filled,2026-07-31
2026-07-30,HYG,0.0,541.0,541.0,79.47000122070312,,funding,filled,2026-07-31
2026-07-30,IGSB,0.0,763.0,763.0,52.18000030517578,,funding,filled,2026-07-31
2026-07-30,JAAA,0.0,-1006.0,-1006.0,50.66999816894531,,funding,filled,2026-07-31
2026-07-30,JNK,0.0,961.0,961.0,95.66000366210938,,funding,filled,2026-07-31
2026-07-30,LQD,0.0,-43.0,-43.0,106.41000366210938,,funding,filled,2026-07-31
2026-07-30,SHYG,0.0,358.0,358.0,42.13999938964844,,funding,filled,2026-07-31
2026-07-30,SJNK,0.0,-2579.0,-2579.0,24.850000381469727,,funding,filled,2026-07-31
2026-07-30,SPHY,0.0,1072.0,1072.0,23.260000228881836,,funding,filled,2026-07-31
2026-07-30,SRLN,0.0,-2485.0,-2485.0,40.38999938964844,,funding,filled,2026-07-31
2026-07-30,USHY,0.0,0.0,0.0,36.790000915527344,,funding,filled,2026-07-31
2026-07-30,VCIT,0.0,-1231.0,-1231.0,81.37999725341797,,funding,filled,2026-07-31
2026-07-30,VCSH,0.0,696.0,696.0,78.66999816894531,,funding,filled,2026-07-31
2026-08-03,BKLN,796.0,-4147.0,-4943.0,20.43000030517578,,target,filled,2026-08-04
2026-08-03,EMB,360.0,522.0,162.0,94.75,,target,filled,2026-08-04
2026-08-03,HYG,541.0,98.0,-443.0,79.30999755859375,,target,filled,2026-08-04
2026-08-03,IGSB,763.0,69.0,-694.0,52.0,,target,filled,2026-08-04
2026-08-03,JAAA,-1005.0,0.0,1005.0,50.5099983215332,,target,filled,2026-08-04
2026-08-03,JNK,961.0,0.0,-961.0,95.4499969482422,,target,filled,2026-08-04
2026-08-03,LQD,-42.0,-901.0,-859.0,106.11000061035156,,target,filled,2026-08-04
2026-08-03,SHYG,358.0,-180.0,-538.0,42.0099983215332,,target,filled,2026-08-04
2026-08-03,SJNK,-2578.0,-1655.0,923.0,24.770000457763672,,target,filled,2026-08-04
2026-08-03,SPHY,1072.0,1005.0,-67.0,23.200000762939453,,target,filled,2026-08-04
2026-08-03,SRLN,-2484.0,1977.0,4461.0,40.25,,target,filled,2026-08-04
2026-08-03,USHY,0.0,2098.0,2098.0,36.68000030517578,,target,filled,2026-08-04
2026-08-03,VCIT,-1230.0,-1126.0,104.0,81.11000061035156,,target,filled,2026-08-04
2026-08-03,VCSH,696.0,1008.0,312.0,78.41999816894531,,target,filled,2026-08-04
2026-08-04,BKLN,-4147.0,-4142.0,5.0,20.450000762939453,,target,filled,2026-08-05
2026-08-04,EMB,522.0,520.0,-2.0,95.22000122070312,,target,filled,2026-08-05
2026-08-04,HYG,98.0,98.0,0.0,79.55000305175781,,target,skipped,2026-08-05
2026-08-04,IGSB,69.0,69.0,0.0,52.119998931884766,,target,skipped,2026-08-05
2026-08-04,JAAA,0.0,0.0,0.0,50.5099983215332,,target,skipped,2026-08-05
2026-08-04,JNK,0.0,0.0,0.0,95.75,,target,skipped,2026-08-05
2026-08-04,LQD,-901.0,-895.0,6.0,106.76000213623048,,target,filled,2026-08-05
2026-08-04,SHYG,-180.0,-180.0,0.0,42.11000061035156,,target,skipped,2026-08-05
2026-08-04,SJNK,-1655.0,-1651.0,4.0,24.84000015258789,,target,filled,2026-08-05
2026-08-04,SPHY,1005.0,1002.0,-3.0,23.270000457763672,,target,filled,2026-08-05
2026-08-04,SRLN,1977.0,1975.0,-2.0,40.29999923706055,,target,filled,2026-08-05
2026-08-04,USHY,2098.0,2091.0,-7.0,36.79999923706055,,target,filled,2026-08-05
2026-08-04,VCIT,-1126.0,-1120.0,6.0,81.5199966430664,,target,filled,2026-08-05
2026-08-04,VCSH,1008.0,1006.0,-2.0,78.58999633789062,,target,filled,2026-08-05
2026-08-05,BKLN,-4142.0,-4137.0,5.0,20.479999542236328,,target,filled,2026-08-06
2026-08-05,EMB,520.0,520.0,0.0,95.16999816894533,,target,skipped,2026-08-06
2026-08-05,HYG,98.0,98.0,0.0,79.5199966430664,,target,skipped,2026-08-06
2026-08-05,IGSB,69.0,69.0,0.0,52.119998931884766,,target,skipped,2026-08-06
2026-08-05,JAAA,0.0,0.0,0.0,50.52000045776367,,target,skipped,2026-08-06
2026-08-05,JNK,0.0,0.0,0.0,95.66999816894533,,target,skipped,2026-08-06
2026-08-05,LQD,-895.0,-896.0,-1.0,106.73999786376952,,target,filled,2026-08-06
2026-08-05,SHYG,-180.0,-180.0,0.0,42.099998474121094,,target,skipped,2026-08-06
2026-08-05,SJNK,-1651.0,-1651.0,0.0,24.829999923706055,,target,skipped,2026-08-06
2026-08-05,SPHY,1002.0,1002.0,0.0,23.260000228881836,,target,skipped,2026-08-06
2026-08-05,SRLN,1975.0,1970.0,-5.0,40.40999984741211,,target,filled,2026-08-06
2026-08-05,USHY,2091.0,2092.0,1.0,36.790000915527344,,target,filled,2026-08-06
2026-08-05,VCIT,-1120.0,-1121.0,-1.0,81.48999786376953,,target,filled,2026-08-06
2026-08-05,VCSH,1006.0,1006.0,0.0,78.58999633789062,,target,skipped,2026-08-06
2026-08-06,BKLN,-4137.0,-4134.0,3.0,20.5,,target,filled,2026-08-07
2026-08-06,EMB,520.0,522.0,2.0,94.9499969482422,,target,filled,2026-08-07
2026-08-06,HYG,98.0,98.0,0.0,79.45999908447266,,target,skipped,2026-08-07
2026-08-06,IGSB,69.0,69.0,0.0,52.060001373291016,,target,skipped,2026-08-07
2026-08-06,JAAA,0.0,0.0,0.0,50.529998779296875,,target,skipped,2026-08-07
2026-08-06,JNK,0.0,0.0,0.0,95.61000061035156,,target,skipped,2026-08-07
2026-08-06,LQD,-896.0,-899.0,-3.0,106.36000061035156,,target,filled,2026-08-07
