ticker,grp,adv,h,n,beta_px,t_px,beta_nav,t_nav
AWF,hy,3421310.8018693468,5,6747,-12.472486111505383,-2.177980101182788,4.6378434651592,1.3565721001589173
AWF,hy,3421310.8018693468,10,6742,-16.2904626307757,-1.878456060220358,7.797405303239058,1.2309593232059792
AWF,hy,3421310.8018693468,21,6731,-35.46008153792705,-2.121828828278216,0.6867960320872118,0.05474727678398022
AWF,hy,3421310.8018693468,63,6689,-61.82044989409867,-1.707673957701383,-11.07452550276343,-0.35135627805405684
BGB,multi,1346205.6201117379,5,3351,1.9745879493793348,0.26287434764313067,11.90436802852627,2.050176330156783
BGB,multi,1346205.6201117379,10,3346,4.132006839299134,0.42860967540493317,17.11989152610023,1.9901048235257366
BGB,multi,1346205.6201117379,21,3335,-0.949783587432807,-0.058810969842890436,17.448083884142882,1.693391643868431
BGB,multi,1346205.6201117379,63,3293,-2.6761908908295657,-0.06115843098417184,26.231651020885163,0.7787178515679428
BGH,hy,1149001.8652461823,5,3307,-3.0975445318443318,-0.358512223463277,8.816470687957057,1.4572844286806768
BGH,hy,1149001.8652461823,10,3302,-6.1230223384844935,-0.505522850338998,11.035273046203756,1.1774363056204238
BGH,hy,1149001.8652461823,21,3291,-27.904725953304226,-1.3605066274858952,3.906331100706617,0.2682651006403689
BGH,hy,1149001.8652461823,63,3249,-82.59034091514224,-1.342837301656939,-23.224320337922855,-0.464096583013649
BGT,loan,1283481.8468411763,5,5280,-2.5319873895171874,-0.45054780817153217,11.067695163964695,3.08599124241537
BGT,loan,1283481.8468411763,10,5275,-1.1609661245135952,-0.1263972046367338,17.695852029239703,2.471302977648676
BGT,loan,1283481.8468411763,21,5264,-4.3757486802230305,-0.2137769935803077,26.884854100139847,1.5470904260558898
BGT,loan,1283481.8468411763,63,5222,28.985289240976673,0.4859732731329837,66.14825075294479,1.1555122442868027
BIT,multi,3397397.1245629448,5,3248,-10.332695252604294,-1.4586829157317762,3.099046681209711,0.5217426888395603
BIT,multi,3397397.1245629448,10,3243,-21.069456053349416,-2.1535751052010994,-1.2542981371732402,-0.19657079248024745
BIT,multi,3397397.1245629448,21,3232,-42.876015412701925,-1.8172060504962662,-10.903080724252813,-0.7156853333849593
BIT,multi,3397397.1245629448,63,3190,-77.23981135725009,-1.3828092488593366,-13.915095542859191,-0.3481675703791309
BSL,loan,460394.4336209978,5,3931,-1.3087728125776046,-0.17505075856511465,10.286847599585698,1.8774628969192981
BSL,loan,460394.4336209978,10,3926,0.6317191784237418,0.05237611677216485,16.0902813182553,1.7078605030253156
BSL,loan,460394.4336209978,21,3915,-0.94095822872377,-0.05163037764626634,19.35015972031797,1.4777991407715783
BSL,loan,460394.4336209978,63,3873,-14.19890207426867,-0.3866588852037298,11.587626392322893,0.47279925743483
DBL,multi,869043.3330944607,5,3521,-6.2636794392743855,-1.2684783227024847,12.332099266581524,2.641007635777014
DBL,multi,869043.3330944607,10,3516,-1.5727138182145157,-0.17154197089650572,22.594664661381525,2.7644407747853887
DBL,multi,869043.3330944607,21,3505,-6.12897148375898,-0.4471739591276397,35.63567710069901,2.9326372594315253
DBL,multi,869043.3330944607,63,3463,-51.23971025167466,-1.3305014397050976,31.401339480408595,1.1769486558246454
DHY,hy,1510842.567883219,5,6135,-3.5794404941232645,-0.42219424477668593,17.650616132618815,3.6773004577476556
