ticker,grp,adv,n,mean_disc,sd_disc,p5,p95,ar1
PDI,multi,40786717.34647296,3564,6.001503963515863,7.059141786066587,-5.951537104175921,16.946516585562808,-0.042774898297776455
PTY,multi,12036854.225948881,5880,13.94288244247494,10.017754263428127,-1.4463672497037876,29.699154372203875,-0.09336879637705864
NEA,muni,8880977.016848609,5921,-6.295381825857502,4.578498828874537,-13.910969877688615,1.2104929829258946,-0.0709252096969374
NAD,muni,6985125.749401819,6728,-5.740212807110682,4.583119432959534,-13.662952305233038,1.6108479582844235,-0.060329673255084204
PDO,multi,6940625.707567306,1379,1.6033174228728895,4.227488815187304,-7.624588901233182,6.23102379363834,0.006217599933515316
NZF,muni,6541339.9292673385,6145,-6.172060791459435,4.491612653458522,-13.570558318306517,0.4935713296649319,-0.10589556485467022
DSL,multi,6208755.805510567,3334,-3.7509226544722774,4.162427398919952,-10.535539004875059,2.0654802322929013,-0.184282905616355
HYT,hy,6137474.845522926,5829,-6.338805766007801,4.972634107823958,-13.47842659234642,1.921792116460974,-0.09997372409273006
NVG,muni,5747153.364662897,6007,-6.894671513277402,4.156659955827027,-13.808467509123803,-0.5580402664709037,-0.04650527154608131
PHK,multi,5422517.501206625,5618,22.72070931408469,22.319574565890598,-5.148645157750631,63.7327308043877,-0.04037688397369661
PFN,multi,4712018.705785843,4826,2.0830277774378927,5.660728371060864,-7.934258968245249,9.450410033320466,-0.08632241371748396
MQY,muni,4366492.198898679,6965,-5.847386770739605,4.117272271378766,-12.97915480853561,0.7914235260198128,-0.03763729414984473
MHD,muni,4172709.796528589,6965,-4.383228770267332,4.828296934631821,-12.857590622347363,2.966089298553713,-0.047333790862588945
PCN,multi,3664064.627638317,5880,10.384789284611578,8.877309313908935,-2.9886207783664607,26.777953454809378,-0.10956519415080415
JFR,loan,3647146.252604893,5588,-6.089363217806128,5.426255383743912,-13.95301660790388,3.290857526623919,-0.05701805446335069
AWF,hy,3421310.8018693468,6873,-7.28319945664438,5.573718085688494,-14.781402755000338,2.8012986372336064,-0.07085066446522624
BIT,multi,3397397.1245629448,3374,-5.756820990787322,5.759285318138835,-13.47429827084133,4.45722901793667,-0.11565385582403453
EDD,emd,3118981.4021996087,4769,-11.787750986679782,4.721399559124957,-17.909827072155966,-5.019677569440451,-0.06722110850778137
PFL,multi,2400311.5996042886,4826,3.6054425884187284,6.185880187353791,-7.2173606897696105,12.0366572140676,-0.029179358855098585
VMO,muni,2171690.632007236,4791,-4.801528046790378,5.61427409298103,-12.792793040480294,5.239322832607581,-0.03688080906167609
VVR,loan,2150986.395393099,4791,-6.2980246593038265,5.847470865182238,-14.456249135896405,4.9205268451131285,-0.1622828556607251
EMD,emd,1984451.3801983423,5691,-10.448849440023446,4.8364305435553865,-16.66167405318049,-1.7344238388189237,-0.12163892803143217
NXP,muni,1901349.2452348978,6729,-2.4843684038186167,4.12079094631886,-8.183674874840033,4.797416631615765,-0.14373668885402893
EAD,hy,1782070.7679476056,5878,-5.080169213508816,5.915487777946401,-12.937481572527998,4.43977978960436,-0.10592695863177695
VKQ,muni,1686183.405789875,4791,-5.449469932424837,5.386525410734747,-13.123586090849637,4.379946380897149,0.049205103205197345
FCT,loan,1672318.080107371,5570,-6.7241796694691525,5.697818158947625,-16.30391951596459,2.7016082103484256,-0.007265741847978749
GHY,hy,1560851.5746479945,3416,-9.101270879726956,4.267474809761219,-15.018016445631911,-0.37494377667165535,-0.12928729845791037
ISD,hy,1537344.8046548027,3583,-7.216911983218141,5.337606449749696,-14.017690386479405,3.7639416019099565,-0.2002394153474257
DHY,hy,1510842.567883219,6261,0.3546022938898521,9.033578063450785,-11.764703304297399,17.162471845329296,-0.11589064896983445
HIO,hy,1381412.4801442737,6979,-6.21766886631557,5.813445851811581,-14.009519268214934,5.077256896971022,-0.1232859795703031
BGB,multi,1346205.6201117379,3477,-7.96128999981847,3.84152228052949,-13.561506699572739,-1.5601290972277764,-0.20606933854882512
MFM,muni,1301043.1046894619,6799,-4.383881950072025,6.042923755438197,-13.406973690046796,5.375676546486091,-0.05380275036102198
BGT,loan,1283481.8468411763,5406,-4.653724534496854,5.959950865316848,-13.018934301762462,5.208938025171442,-0.05428030129481036
BGH,hy,1149001.8652461823,3433,-7.170776632471065,3.7400444140088145,-12.823153039701493,-0.7425295035194381,-0.13706582884168064
EFR,loan,922942.1475773766,5678,-3.6533442001802197,6.082700051760448,-12.22669138756305,6.587939439962616,-0.007515023409930275
DBL,multi,869043.3330944607,3647,2.595856131471152,4.6261383675419685,-2.895953362949226,12.138063559378335,-0.18442906591399108
NAN,muni,729673.7109320505,6729,-6.291850873836073,5.343044183321163,-14.324920392170025,2.468804591811864,-0.08974441847715552
EDF,emd,705375.9575571333,3917,6.868398113559774,12.137584142684966,-8.183846994465943,35.1265044158212,-0.08406644101983143
TEI,emd,682054.1954426538,6894,-7.1037319309797144,6.072204909258436,-16.737134386279532,3.313350019330257,-0.07340723500357975
EFT,loan,627108.2326117016,5539,-4.836094198886029,5.486467955388317,-12.665900117211256,4.640521203393994,-0.05693359334484047
PMM,muni,552482.2384493692,6676,-5.043856893301201,5.435530431061698,-11.874379751772938,4.35960318945112,-0.102800500428749
MSD,emd,542561.2905797504,4769,-11.141928359949636,4.792978060561021,-17.328250545906457,-2.5316711377480936,-0.1441321828160436
BSL,loan,460394.4336209978,4057,-3.0430889917131894,4.858623631212751,-10.934106388082164,4.27525147676229,-0.16113588018896363
NIM,muni,140801.6673905509,6729,-3.7568210017481394,3.8822753692722376,-10.148667256869091,3.0175086232474135,-0.16151202039457194
