ticker,n_days,last_date,ours,broker,last_diff_pct,max_abs_diff_pct,median_abs_diff_pct,note
AWF,10,2026-07-30,10.109999656677246,10.11,-3.395872931135666e-06,4.171140146335686e-06,3.2081849885460387e-06,
BIT,10,2026-07-30,12.199999809265137,12.2,-1.5634005128746497e-06,3.442302696647827e-06,1.8689511031566308e-06,
DSL,10,2026-07-30,10.699999809265137,10.7,-1.7825688090720305e-06,3.2267176065584193e-06,1.7825688090720305e-06,
HYT,10,2026-07-30,8.369999885559082,8.37,-1.367274996262282e-06,5.0495390941199765e-06,2.0638007044051745e-06,
JFR,10,2026-07-30,7.670000076293945,7.67,9.947059372040975e-07,2.477076148816697e-06,1.246633088697433e-06,
MHD,10,2026-07-30,11.539999961853027,11.54,-3.3056301389600277e-07,3.8892410560860296e-06,1.990278341029084e-06,
MQY,10,2026-07-30,11.25,11.25,0.0,4.076257099744663e-06,2.001933584310038e-06,
NAD,10,2026-07-30,11.699999809265137,11.7,-1.6302125006043357e-06,3.9025036001818044e-06,2.121509424678097e-06,
NEA,10,2026-07-30,11.260000228881836,11.26,2.0326983672350162e-06,4.076257099744663e-06,2.531587898211056e-06,
NVG,10,2026-07-30,12.449999809265137,12.45,-1.5320069282787732e-06,3.4087465371354188e-06,1.5413484339390095e-06,
NZF,10,2026-07-30,12.289999961853027,12.29,-3.103903320064989e-07,3.6679781434401093e-06,1.8668991529417848e-06,
PCN,10,2026-07-30,11.680000305175781,11.68,2.6128063487518586e-06,3.6299022380741353e-06,2.625226776511699e-06,
PDI,10,2026-07-30,16.110000610351562,16.11,3.7886502983763763e-06,5.707776462610046e-06,2.5768133692037497e-06,
PDO,10,2026-07-30,13.130000114440918,13.13,8.71598759993549e-07,2.957129666029235e-06,1.7610972962021123e-06,
PFN,10,2026-07-30,7.059999942779541,7.06,-8.104880820619901e-07,3.265076121978072e-06,1.8738946769592217e-06,
PHK,10,2026-07-30,4.650000095367432,4.65,2.050912500760293e-06,3.324354918673389e-06,2.474401120578234e-06,
PTY,10,2026-07-30,11.739999771118164,11.74,-1.9495897457467022e-06,3.9025036001818044e-06,2.453359702062911e-06,
