ticker,price,adv_usd,tier,tick_floor_half_bp,half_spread_bp_modelled,half_spread_bp_measured,ratio
AGG,99.06,839685401,1,0.505,0.6,28.60937978951682,47.6822996491947
BIL,91.52,884579121,1,0.546,0.6,1.0913456291605381,1.8189093819342304
EMB,95.95,678267082,1,0.521,0.6,176.8990634755459,294.83177245924315
HYG,79.91,3070956833,1,0.626,0.7,15.738117721120556,22.48302531588651
IEF,94.97,712691023,1,0.526,0.6,24.55166524338139,40.91944207230232
LQD,108.99,3418363009,1,0.459,0.5,34.71570651154105,69.4314130230821
SPY,714.55,42562346646,1,0.07,0.1,0.5379380833268843,5.379380833268843
TLT,86.31,2266227224,1,0.579,0.6,2.9728283488918112,4.954713914819686
VCIT,82.67,815433397,1,0.605,0.7,76.33587786259541,109.05125408942202
BKLN,20.49,227783889,2,2.44,4.3,36.63003663003715,8.518613169776081
IEI,118.05,154774189,2,0.424,0.8,204.0816326530612,255.1020408163265
IGSB,52.45,147090073,2,0.953,1.7,23.934897079942555,14.079351223495621
JAAA,50.59,265029860,2,0.988,1.8,0.9872642906504108,0.5484801614724504
JNK,96.24,317344148,2,0.52,1.0,113.79201348646069,113.79201348646069
SHY,82.31,293402666,2,0.607,1.1,2.4408103490353943,2.2189184991230855
SPHY,23.41,114272294,2,2.136,3.8,2.152852529602059,0.5665401393689629
SRLN,40.34,117651556,2,1.239,2.2,24.715768660405686,11.234440300184401
USHY,36.98,454202922,2,1.352,2.4,29.891304347825937,12.454710144927475
VCLT,75.04,378325423,2,0.666,1.2,50.94313644499483,42.45261370416236
VCSH,79.08,371950422,2,0.632,1.2,11.457670273711447,9.548058561426206
ANGL,29.12,20691913,3,1.717,5.2,170.1455884932466,32.7203054794705
CWB,100.9,83034918,3,0.496,1.5,569.2921236291127,379.52808241940846
FALN,27.11,23554092,3,1.845,5.6,1489.8989898989903,266.0533910533911
PFF,31.16,90735713,3,1.605,4.9,46.11330698287239,9.410878976096406
SHYG,42.4,65915973,3,1.179,3.6,158.73015873015885,44.09171075837746
SJNK,25.02,68615250,3,1.998,6.0,52.48284214775898,8.74714035795983
HYGH,86.37,4247224,4,0.579,2.9,51.993067590988204,17.928643996892486
JBBB,47.37,12930765,4,1.056,5.3,44.406851342778786,8.378651196750715
LQDH,92.85,2993019,4,0.539,2.7,135.3546291283162,50.13134412159859
