ticker,n,half_spread_bp,half_spread_bp_p90,bid_depth_usd,ask_depth_usd,touch_depth_usd,order_vs_touch,impact_free
BIL,2,1.0913456291605381,1.0913456291605381,26569800.0,26575600.0,26569800.0,0.03763671536857635,True
SPY,2,0.5379380833268843,0.5379380833268843,14870800.0,2974480.0,2974480.0,0.3361932169656545,True
HYGH,2,51.993067590988204,51.993067590988204,2583000.0,28710000.0,2583000.0,0.38714672861014326,True
BKLN,2,36.63003663003715,36.63003663003715,2039999.9999999998,2671500.0,2039999.9999999998,0.4901960784313726,True
IEI,2,204.0816326530612,204.0816326530612,1140000.0,19000000.0,1140000.0,0.8771929824561403,True
LQD,2,34.71570651154105,34.71570651154105,15931499.999999998,1069500.0,1069500.0,0.9350163627863488,True
IGSB,2,23.934897079942555,23.934897079942555,1042000.0,1570500.0,1042000.0,0.9596928982725528,True
AGG,2,28.60937978951682,28.60937978951682,975900.0,9815000.0,975900.0,1.0246951531919255,False
CWB,2,569.2921236291127,569.2921236291127,945900.0,1060100.0,945900.0,1.057194206575748,False
EMB,2,176.8990634755459,176.8990634755459,944000.0,978000.0,944000.0,1.0593220338983051,False
JNK,2,113.79201348646069,113.79201348646069,938300.0,10558900.0,938300.0,1.0657572205051689,False
IEF,2,24.55166524338139,24.55166524338139,934500.0,939100.0,934500.0,1.0700909577314073,False
PFF,2,46.11330698287239,46.11330698287239,3022000.0,915000.0,915000.0,1.092896174863388,False
LQDH,2,135.3546291283162,135.3546291283162,911000.0,936000.0,911000.0,1.0976948408342482,False
TLT,2,2.9728283488918112,2.9728283488918112,7566299.999999999,841200.0,841200.0,1.1887779362815025,False
SHY,2,2.4408103490353943,2.4408103490353943,819200.0,819599.9999999999,819200.0,1.220703125,False
VCIT,2,76.33587786259541,76.33587786259541,812500.0,3300000.0,812500.0,1.2307692307692308,False
SRLN,2,24.715768660405686,24.715768660405686,2018000.0,811200.0,811200.0,1.232741617357002,False
HYG,2,15.738117721120556,15.738117721120556,1586000.0,795500.0,795500.0,1.2570710245128849,False
VCSH,2,11.457670273711447,11.457670273711447,784599.9999999999,786400.0,784599.9999999999,1.2745347947998982,False
VCLT,2,50.94313644499483,50.94313644499483,722600.0,10950000.0,722600.0,1.3838915029061722,False
ANGL,2,170.1455884932466,170.1455884932466,560400.0,869700.0,560400.0,1.7844396859386153,False
JAAA,2,0.9872642906504108,0.9872642906504108,1012800.0,506500.0,506500.0,1.9743336623889438,False
JBBB,2,44.406851342778786,44.406851342778786,470800.0,19000000.0,470800.0,2.1240441801189465,False
SPHY,2,2.152852529602059,2.152852529602059,696600.0,464600.0,464600.0,2.152389151958674,False
SHYG,2,158.73015873015885,158.73015873015885,418500.0,3456000.0,418500.0,2.3894862604540026,False
FALN,2,1489.8989898989903,1489.8989898989903,404400.0,819000.0,404400.0,2.472799208704253,False
USHY,2,29.891304347825937,29.891304347825937,366900.0,7381999.999999999,366900.0,2.725538293813028,False
SJNK,2,52.48284214775898,52.48284214775898,246400.0,249000.0,246400.0,4.058441558441558,False
