snapshot,ts,ticker,bid,ask,mid,half_spread_bp,bid_depth_usd,ask_depth_usd
0,2026-07-28T20:32:16.219302-04:00,HYG,79.3,79.55,79.425,15.738117721120556,1586000.0,795500.0
0,2026-07-28T20:32:16.219302-04:00,JNK,93.83,95.99,94.91,113.79201348646069,938300.0,10558900.0
0,2026-07-28T20:32:16.219302-04:00,USHY,36.69,36.91,36.8,29.891304347825937,366900.0,7381999.999999999
0,2026-07-28T20:32:16.219302-04:00,SPHY,23.22,23.23,23.225,2.152852529602059,696600.0,464600.0
0,2026-07-28T20:32:16.219302-04:00,SHYG,41.85,43.2,42.525000000000006,158.73015873015885,418500.0,3456000.0
0,2026-07-28T20:32:16.219302-04:00,SJNK,24.64,24.9,24.77,52.48284214775898,246400.0,249000.0
0,2026-07-28T20:32:16.219302-04:00,HYGH,86.1,87.0,86.55,51.993067590988204,2583000.0,28710000.0
0,2026-07-28T20:32:16.219302-04:00,FALN,20.22,27.3,23.759999999999998,1489.8989898989903,404400.0,819000.0
0,2026-07-28T20:32:16.219302-04:00,ANGL,28.02,28.99,28.505,170.1455884932466,560400.0,869700.0
0,2026-07-28T20:32:16.219302-04:00,LQD,106.21,106.95,106.58,34.71570651154105,15931499.999999998,1069500.0
0,2026-07-28T20:32:16.219302-04:00,VCSH,78.46,78.64,78.55,11.457670273711447,784599.9999999999,786400.0
0,2026-07-28T20:32:16.219302-04:00,VCIT,81.25,82.5,81.875,76.33587786259541,812500.0,3300000.0
0,2026-07-28T20:32:16.219302-04:00,VCLT,72.26,73.0,72.63,50.94313644499483,722600.0,10950000.0
0,2026-07-28T20:32:16.219302-04:00,IGSB,52.1,52.35,52.225,23.934897079942555,1042000.0,1570500.0
0,2026-07-28T20:32:16.219302-04:00,LQDH,91.1,93.6,92.35,135.3546291283162,911000.0,936000.0
0,2026-07-28T20:32:16.219302-04:00,BKLN,20.4,20.55,20.475,36.63003663003715,2039999.9999999998,2671500.0
0,2026-07-28T20:32:16.219302-04:00,SRLN,40.36,40.56,40.46,24.715768660405686,2018000.0,811200.0
0,2026-07-28T20:32:16.219302-04:00,JAAA,50.64,50.65,50.644999999999996,0.9872642906504108,1012800.0,506500.0
0,2026-07-28T20:32:16.219302-04:00,JBBB,47.08,47.5,47.29,44.406851342778786,470800.0,19000000.0
0,2026-07-28T20:32:16.219302-04:00,EMB,94.4,97.8,96.1,176.8990634755459,944000.0,978000.0
0,2026-07-28T20:32:16.219302-04:00,PFF,30.22,30.5,30.36,46.11330698287239,3022000.0,915000.0
0,2026-07-28T20:32:16.219302-04:00,CWB,94.59,106.01,100.30000000000001,569.2921236291127,945900.0,1060100.0
0,2026-07-28T20:32:16.219302-04:00,SHY,81.92,81.96,81.94,2.4408103490353943,819200.0,819599.9999999999
0,2026-07-28T20:32:16.219302-04:00,IEI,114.0,118.75,116.375,204.0816326530612,1140000.0,19000000.0
0,2026-07-28T20:32:16.219302-04:00,IEF,93.45,93.91,93.68,24.55166524338139,934500.0,939100.0
0,2026-07-28T20:32:16.219302-04:00,TLT,84.07,84.12,84.095,2.9728283488918112,7566299.999999999,841200.0
0,2026-07-28T20:32:16.219302-04:00,BIL,91.62,91.64,91.63,1.0913456291605381,26569800.0,26575600.0
0,2026-07-28T20:32:16.219302-04:00,SPY,743.54,743.62,743.5799999999999,0.5379380833268843,14870800.0,2974480.0
0,2026-07-28T20:32:16.219302-04:00,AGG,97.59,98.15,97.87,28.60937978951682,975900.0,9815000.0
1,2026-07-28T20:32:19.221892-04:00,HYG,79.3,79.55,79.425,15.738117721120556,1586000.0,795500.0
1,2026-07-28T20:32:19.221892-04:00,JNK,93.83,95.99,94.91,113.79201348646069,938300.0,10558900.0
1,2026-07-28T20:32:19.221892-04:00,USHY,36.69,36.91,36.8,29.891304347825937,366900.0,7381999.999999999
1,2026-07-28T20:32:19.221892-04:00,SPHY,23.22,23.23,23.225,2.152852529602059,696600.0,464600.0
1,2026-07-28T20:32:19.221892-04:00,SHYG,41.85,43.2,42.525000000000006,158.73015873015885,418500.0,3456000.0
1,2026-07-28T20:32:19.221892-04:00,SJNK,24.64,24.9,24.77,52.48284214775898,246400.0,249000.0
1,2026-07-28T20:32:19.221892-04:00,HYGH,86.1,87.0,86.55,51.993067590988204,2583000.0,28710000.0
1,2026-07-28T20:32:19.221892-04:00,FALN,20.22,27.3,23.759999999999998,1489.8989898989903,404400.0,819000.0
1,2026-07-28T20:32:19.221892-04:00,ANGL,28.02,28.99,28.505,170.1455884932466,560400.0,869700.0
1,2026-07-28T20:32:19.221892-04:00,LQD,106.21,106.95,106.58,34.71570651154105,15931499.999999998,1069500.0
1,2026-07-28T20:32:19.221892-04:00,VCSH,78.46,78.64,78.55,11.457670273711447,784599.9999999999,786400.0
1,2026-07-28T20:32:19.221892-04:00,VCIT,81.25,82.5,81.875,76.33587786259541,812500.0,3300000.0
