ticker,price,adv_usd,tier,tick_floor_half_bp,half_spread_bp
AGG,99.06,839685401,1,0.505,0.6
BIL,91.52,884579121,1,0.546,0.6
EMB,95.95,678267082,1,0.521,0.6
HYG,79.91,3070956833,1,0.626,0.7
IEF,94.97,712691023,1,0.526,0.6
LQD,108.99,3418363009,1,0.459,0.5
SPY,714.55,42562346646,1,0.07,0.1
TLT,86.31,2266227224,1,0.579,0.6
VCIT,82.67,815433397,1,0.605,0.7
BKLN,20.49,227783889,2,2.44,4.3
GOVT,22.82,159334888,2,2.191,3.9
IEI,118.05,154774189,2,0.424,0.8
IGSB,52.45,147090073,2,0.953,1.7
JAAA,50.59,265029860,2,0.988,1.8
JNK,96.24,317344148,2,0.52,1.0
SHY,82.31,293402666,2,0.607,1.1
SPHY,23.41,114272294,2,2.136,3.8
SRLN,40.34,117651556,2,1.239,2.2
USHY,36.98,454202922,2,1.352,2.4
VCLT,75.04,378325423,2,0.666,1.2
VCSH,79.08,371950422,2,0.632,1.2
ANGL,29.12,20691913,3,1.717,5.2
CWB,100.9,83034918,3,0.496,1.5
FALN,27.11,23554092,3,1.845,5.6
PFF,31.16,90735713,3,1.605,4.9
SHYG,42.4,65915973,3,1.179,3.6
SJNK,25.02,68615250,3,1.998,6.0
HYGH,86.37,4247224,4,0.579,2.9
JBBB,47.37,12930765,4,1.056,5.3
LQDH,92.85,2993019,4,0.539,2.7
