ticker,entry,exit,days,dir
EMB,0,5,5,1.0
VCLT,40,45,5,-1.0
LQD,49,58,9,1.0
VCIT,49,58,9,-1.0
PFF,58,65,7,1.0
CWB,60,67,7,1.0
CWB,68,70,2,1.0
VCLT,53,82,29,1.0
EMB,91,99,8,1.0
BKLN,102,104,2,1.0
JNK,107,118,11,1.0
IGSB,126,133,7,1.0
LQD,132,134,2,-1.0
JNK,184,186,2,-1.0
HYG,184,190,6,1.0
JNK,188,192,4,-1.0
PFF,178,196,18,1.0
HYG,194,199,5,1.0
VCLT,195,204,9,-1.0
PFF,218,219,1,1.0
VCSH,222,227,5,1.0
IGSB,222,240,18,1.0
CWB,235,242,7,1.0
IGSB,271,272,1,-1.0
VCLT,297,314,17,1.0
LQD,316,318,2,-1.0
IGSB,310,334,24,1.0
PFF,333,342,9,-1.0
JNK,337,343,6,-1.0
PFF,354,357,3,1.0
VCSH,351,361,10,1.0
VCSH,366,368,2,1.0
LQD,367,370,3,1.0
EMB,367,373,6,1.0
VCLT,371,376,5,1.0
EMB,380,386,6,1.0
PFF,378,402,24,1.0
VCLT,452,457,5,-1.0
IGSB,453,461,8,1.0
CWB,457,463,6,1.0
VCLT,459,464,5,-1.0
PFF,467,484,17,-1.0
EMB,483,485,2,1.0
JNK,480,490,10,-1.0
VCLT,484,495,11,-1.0
JNK,492,499,7,-1.0
VCIT,504,506,2,-1.0
VCIT,509,520,11,-1.0
HYG,523,529,6,1.0
EMB,560,562,2,-1.0
CWB,564,569,5,1.0
JNK,601,605,4,1.0
PFF,606,608,2,1.0
JNK,638,641,3,1.0
JNK,647,648,1,1.0
VCLT,650,667,17,1.0
VCIT,663,671,8,1.0
PFF,671,687,16,1.0
CWB,678,688,10,1.0
VCLT,678,694,16,1.0
VCSH,698,709,11,-1.0
VCIT,703,712,9,1.0
VCLT,722,738,16,1.0
JNK,737,739,2,1.0
EMB,737,740,3,1.0
VCLT,743,745,2,1.0
LQD,745,748,3,-1.0
VCIT,745,748,3,1.0
VCSH,764,781,17,-1.0
VCLT,797,798,1,-1.0
VCLT,818,823,5,-1.0
VCSH,815,827,12,-1.0
PFF,827,834,7,1.0
LQD,833,837,4,1.0
EMB,810,841,31,-1.0
PFF,839,843,4,1.0
JNK,837,856,19,-1.0
VCLT,844,857,13,1.0
BKLN,862,869,7,1.0
EMB,862,874,12,1.0
VCSH,861,875,14,1.0
VCLT,894,897,3,-1.0
HYG,914,915,1,1.0
VCIT,913,925,12,1.0
JNK,941,949,8,1.0
EMB,943,956,13,-1.0
VCIT,972,979,7,-1.0
EMB,978,983,5,-1.0
LQD,984,986,2,-1.0
PFF,993,996,3,1.0
BKLN,993,999,6,1.0
CWB,997,999,2,-1.0
VCIT,1006,1012,6,-1.0
LQD,1006,1018,12,1.0
CWB,1014,1030,16,1.0
VCSH,1034,1035,1,1.0
VCLT,1017,1035,18,1.0
HYG,1045,1048,3,-1.0
BKLN,1049,1051,2,-1.0
BKLN,1052,1056,4,-1.0
SHYG,1068,1077,9,1.0
IGSB,1062,1084,22,-1.0
PFF,1093,1101,8,-1.0
VCSH,1131,1137,6,-1.0
VCLT,1153,1184,31,1.0
VCLT,1203,1206,3,-1.0
HYG,1216,1217,1,1.0
EMB,1206,1218,12,1.0
CWB,1217,1220,3,1.0
EMB,1223,1225,2,1.0
VCIT,1225,1227,2,1.0
VCIT,1234,1237,3,1.0
EMB,1226,1246,20,1.0
JNK,1236,1254,18,-1.0
CWB,1278,1288,10,-1.0
LQD,1303,1312,9,1.0
EMB,1301,1318,17,-1.0
VCLT,1328,1343,15,1.0
EMB,1352,1358,6,1.0
CWB,1366,1368,2,-1.0
LQD,1370,1373,3,-1.0
VCSH,1368,1373,5,1.0
JNK,1375,1379,4,1.0
EMB,1374,1385,11,1.0
BKLN,1377,1387,10,1.0
CWB,1389,1404,15,-1.0
PFF,1443,1448,5,1.0
CWB,1441,1461,20,1.0
JNK,1474,1475,1,1.0
HYG,1474,1477,3,1.0
EMB,1471,1480,9,1.0
LQD,1492,1502,10,-1.0
VCIT,1498,1509,11,1.0
JNK,1514,1528,14,-1.0
HYG,1512,1531,19,-1.0
LQD,1536,1538,2,1.0
EMB,1537,1539,2,1.0
VCLT,1538,1545,7,1.0
VCIT,1557,1558,1,1.0
VCIT,1563,1565,2,1.0
VCLT,1590,1597,7,1.0
PFF,1613,1615,2,-1.0
VCLT,1694,1708,14,-1.0
CWB,1702,1708,6,1.0
LQD,1701,1711,10,1.0
VCSH,1707,1715,8,1.0
IGSB,1711,1724,13,1.0
CWB,1720,1735,15,-1.0
IGSB,1733,1740,7,1.0
JNK,1731,1741,10,1.0
VCSH,1729,1742,13,1.0
IGSB,1741,1751,10,1.0
HYG,1752,1753,1,1.0
VCIT,1736,1754,18,1.0
JNK,1752,1763,11,1.0
CWB,1784,1804,20,-1.0
EMB,1804,1811,7,1.0
VCLT,1834,1849,15,-1.0
EMB,1829,1852,23,1.0
VCIT,1874,1886,12,1.0
EMB,1876,1890,14,-1.0
EMB,1912,1913,1,-1.0
IGSB,1907,1916,9,1.0
VCSH,1905,1924,19,1.0
VCIT,1916,1929,13,1.0
CWB,1945,1952,7,1.0
VCLT,1934,1957,23,1.0
JNK,1954,1960,6,1.0
IGSB,1937,1960,23,-1.0
EMB,1979,1996,17,1.0
VCIT,1988,2007,19,1.0
CWB,2001,2007,6,-1.0
VCLT,1999,2032,33,-1.0
BKLN,2050,2056,6,1.0
VCLT,2054,2058,4,1.0
LQD,2058,2059,1,1.0
VCLT,2059,2060,1,1.0
VCSH,2060,2061,1,-1.0
HYG,2061,2062,1,-1.0
ANGL,2055,2062,7,-1.0
LQD,2062,2063,1,1.0
JNK,2056,2064,8,1.0
VCLT,2061,2066,5,-1.0
EMB,2061,2066,5,1.0
SRLN,2060,2067,7,1.0
USHY,2066,2069,3,1.0
IGSB,2063,2069,6,1.0
ANGL,2066,2070,4,-1.0
PFF,2069,2071,2,-1.0
SRLN,2071,2078,7,1.0
VCIT,2069,2080,11,1.0
BKLN,2063,2093,30,1.0
EMB,2071,2094,23,1.0
USHY,2074,2100,26,1.0
SJNK,2117,2119,2,-1.0
USHY,2121,2130,9,-1.0
SHYG,2123,2131,8,-1.0
VCLT,2148,2162,14,-1.0
BKLN,2160,2165,5,1.0
PFF,2145,2165,20,1.0
VCLT,2180,2183,3,1.0
JNK,2196,2199,3,1.0
CWB,2229,2236,7,1.0
VCLT,2242,2245,3,-1.0
PFF,2267,2276,9,1.0
EMB,2275,2283,8,1.0
SRLN,2274,2288,14,-1.0
LQD,2288,2294,6,1.0
EMB,2308,2311,3,1.0
VCLT,2311,2313,2,-1.0
JNK,2309,2317,8,1.0
USHY,2310,2320,10,1.0
VCLT,2351,2355,4,1.0
SRLN,2371,2387,16,-1.0
EMB,2390,2393,3,1.0
VCIT,2412,2413,1,1.0
VCLT,2433,2446,13,1.0
JNK,2457,2458,1,1.0
VCLT,2457,2461,4,1.0
CWB,2488,2495,7,1.0
VCSH,2496,2499,3,1.0
IGSB,2496,2500,4,1.0
BKLN,2491,2502,11,1.0
VCLT,2516,2530,14,1.0
EMB,2525,2530,5,1.0
LQD,2526,2536,10,1.0
USHY,2536,2547,11,1.0
JNK,2545,2551,6,1.0
USHY,2549,2555,6,1.0
SPHY,2553,2555,2,1.0
VCIT,2562,2564,2,1.0
JNK,2556,2570,14,1.0
VCLT,2584,2587,3,1.0
VCLT,2601,2603,2,-1.0
USHY,2615,2616,1,-1.0
VCIT,2616,2622,6,1.0
HYG,2617,2623,6,-1.0
EMB,2613,2624,11,-1.0
USHY,2627,2629,2,1.0
PFF,2618,2630,12,-1.0
VCLT,2625,2633,8,-1.0
SPHY,2657,2659,2,1.0
JAAA,2665,2678,13,-1.0
PFF,2677,2683,6,1.0
CWB,2680,2683,3,-1.0
USHY,2682,2692,10,-1.0
VCLT,2713,2714,1,-1.0
PFF,2713,2715,2,1.0
LQD,2711,2719,8,1.0
VCLT,2716,2720,4,-1.0
VCLT,2730,2738,8,1.0
VCIT,2741,2755,14,1.0
USHY,2775,2782,7,-1.0
JAAA,2762,2796,34,-1.0
SPHY,2779,2809,30,-1.0
USHY,2816,2821,5,-1.0
ANGL,2845,2852,7,1.0
LQD,2854,2869,15,1.0
EMB,2873,2879,6,-1.0
PFF,2915,2923,8,-1.0
CWB,2927,2932,5,1.0
JNK,2957,2962,5,1.0
JAAA,2957,2962,5,1.0
VCLT,2895,2963,68,-1.0
JNK,2969,2979,10,1.0
