cluster,ticker,entry,exit,days,dir
IG_SHORT,IGSB,10,17,7,1.0
IG_BROAD,VCIT,39,41,2,1.0
IG_BROAD,LQD,49,50,1,1.0
IG_BROAD,LQD,51,58,7,1.0
HY_BROAD,HYG,107,131,24,-1.0
IG_BROAD,LQD,121,137,16,-1.0
HY_BROAD,HYG,184,186,2,1.0
HY_BROAD,HYG,188,190,2,1.0
HY_BROAD,JNK,194,199,5,-1.0
HY_BROAD,HYG,204,222,18,1.0
HY_BROAD,JNK,238,248,10,-1.0
IG_BROAD,LQD,294,312,18,1.0
HY_BROAD,JNK,298,313,15,-1.0
HY_BROAD,JNK,337,343,6,-1.0
HY_BROAD,JNK,357,363,6,-1.0
IG_BROAD,VCIT,367,372,5,-1.0
HY_BROAD,JNK,377,387,10,1.0
HY_BROAD,JNK,469,499,30,-1.0
HY_BROAD,JNK,501,503,2,-1.0
HY_BROAD,HYG,522,529,7,1.0
HY_BROAD,HYG,573,592,19,1.0
HY_BROAD,JNK,594,609,15,1.0
HY_BROAD,JNK,647,660,13,1.0
IG_BROAD,VCIT,663,672,9,1.0
HY_BROAD,HYG,686,689,3,1.0
HY_BROAD,HYG,719,720,1,-1.0
IG_BROAD,VCIT,725,728,3,-1.0
HY_BROAD,JNK,737,741,4,1.0
IG_BROAD,VCIT,741,748,7,-1.0
HY_BROAD,HYG,756,759,3,1.0
IG_BROAD,VCIT,757,778,21,1.0
IG_BROAD,LQD,797,800,3,1.0
IG_BROAD,LQD,833,837,4,1.0
HY_BROAD,JNK,836,856,20,-1.0
HY_BROAD,HYG,914,918,4,1.0
IG_BROAD,LQD,913,922,9,-1.0
HY_BROAD,HYG,937,939,2,1.0
IG_BROAD,VCIT,972,978,6,-1.0
HY_BROAD,JNK,975,980,5,1.0
IG_BROAD,VCIT,984,991,7,1.0
IG_BROAD,VCIT,1006,1021,15,-1.0
HY_BROAD,HYG,1032,1036,4,1.0
IG_BROAD,VCIT,1053,1062,9,1.0
HY_BROAD,HYG,1091,1098,7,1.0
IG_BROAD,VCIT,1128,1135,7,1.0
HY_BROAD,JNK,1136,1147,11,-1.0
HY_BROAD,HYG,1200,1213,13,-1.0
HY_BROAD,HYG,1216,1224,8,1.0
HY_BROAD,HYG,1225,1229,4,-1.0
HY_BROAD,HYG,1230,1239,9,-1.0
HY_BROAD,SPHY,1240,1263,23,1.0
HY_BROAD,JNK,1306,1308,2,1.0
IG_BROAD,LQD,1303,1314,11,1.0
HY_BROAD,JNK,1313,1316,3,1.0
HY_BROAD,HYG,1331,1335,4,1.0
HY_BROAD,HYG,1343,1346,3,1.0
HY_BROAD,HYG,1353,1355,2,1.0
HY_BROAD,JNK,1375,1379,4,1.0
HY_BROAD,HYG,1473,1482,9,1.0
IG_BROAD,LQD,1490,1498,8,-1.0
HY_BROAD,JNK,1514,1519,5,-1.0
HY_BROAD,HYG,1540,1549,9,-1.0
IG_BROAD,VCIT,1536,1553,17,-1.0
HY_BROAD,HYG,1588,1610,22,-1.0
HY_BROAD,JNK,1622,1631,9,-1.0
HY_BROAD,HYG,1671,1675,4,1.0
HY_BROAD,HYG,1686,1691,5,-1.0
HY_BROAD,HYG,1692,1701,9,-1.0
IG_BROAD,LQD,1701,1714,13,1.0
HY_BROAD,JNK,1731,1739,8,1.0
HY_BROAD,HYG,1752,1762,10,1.0
HY_BROAD,HYG,1817,1829,12,1.0
HY_BROAD,JNK,1868,1873,5,-1.0
IG_BROAD,LQD,1874,1876,2,-1.0
IG_BROAD,VCIT,1987,2006,19,1.0
IG_BROAD,VCIT,2058,2060,2,-1.0
HY_BROAD,JNK,2060,2061,1,1.0
IG_BROAD,LQD,2062,2064,2,1.0
LOANS,SRLN,2064,2065,1,-1.0
HY_BROAD,HYG,2061,2069,8,-1.0
LOANS,SRLN,2071,2074,3,1.0
HY_BROAD,USHY,2074,2077,3,1.0
HY_BROAD,SPHY,2080,2086,6,1.0
HY_BROAD,USHY,2121,2126,5,-1.0
HY_BROAD,JNK,2135,2139,4,1.0
LOANS,SRLN,2125,2140,15,-1.0
IG_BROAD,VCIT,2148,2150,2,1.0
HY_BROAD,JNK,2196,2199,3,1.0
IG_BROAD,LQD,2226,2229,3,-1.0
IG_BROAD,LQD,2234,2238,4,-1.0
HY_BROAD,HYG,2231,2243,12,1.0
IG_BROAD,LQD,2526,2531,5,1.0
HY_BROAD,JNK,2561,2570,9,1.0
HY_BROAD,HYG,2616,2629,13,-1.0
HY_BROAD,HYG,2641,2662,21,-1.0
HY_BROAD,USHY,2684,2692,8,-1.0
HY_BROAD,SPHY,2794,2809,15,-1.0
IG_BROAD,VCIT,2860,2871,11,-1.0
