s_entry,edge_margin,band,htol,sharpe,cagr,vol,dd,cost,fin,gross,hold,turn_M
2.5,3.0,0.05,0.05,-0.05728632664169891,0.006629003924418342,0.053524203716666566,-0.1442372577261397,2.1104380400223874,0.9218409581812593,0.6808453604295666,6.5,599.320003780493
2.5,3.0,0.01,0.05,-0.07613521557735192,0.005694299917791579,0.05290334551798342,-0.14807797873299022,2.1144133540440717,0.9159163541710263,0.6682738957178808,6.5,604.4253443619964
2.5,6.0,0.05,0.05,-0.10299994405911302,0.005100529289318478,0.047426184430169105,-0.21685213945605186,1.5326041494926408,0.7073044592112571,0.5213310141133617,7.0,395.98848341553395
2.5,6.0,0.01,0.05,-0.11272977375344875,0.004688512048250937,0.04710329163757341,-0.21886089594737668,1.5370770473285749,0.7029043656320326,0.5145503114153813,7.0,401.78921778415236
2.5,1.0,0.05,0.2,-0.1223492051186426,0.0023738434954081455,0.05764968038170318,-0.16924680494646172,2.454160271654577,1.1094888875558833,0.8077809492233078,6.0,687.6929931121628
2.5,1.0,0.01,0.2,-0.12578014668402496,0.0022577459100436847,0.057204125314270576,-0.16582252196308078,2.4621076543422067,1.1035655624756864,0.7965968106763823,6.0,696.3142481400403
2.5,6.0,0.05,0.2,-0.13357895052424804,0.0037008023477633767,0.047115357942114945,-0.20691665420632877,1.5227355045326072,0.7006156807755991,0.5222881649415445,7.0,384.4117380213101
2.5,6.0,0.01,0.2,-0.1614389921428013,0.002497627272883829,0.046573326114616655,-0.215146985453593,1.527509080020183,0.6962521285811353,0.5129891454726923,7.0,389.12076779082065
2.5,1.0,0.05,0.05,-0.21259588412911193,-0.0027808915361291486,0.05745501229176101,-0.22544763743194063,2.4719371644131285,1.1083758565261108,0.8112728629470264,6.0,708.8939930539937
2.5,1.0,0.01,0.05,-0.23033054325396327,-0.0036617697945752203,0.05698533316384759,-0.22695350801181002,2.478095111294519,1.101893982039567,0.7985743763235725,6.0,714.1983045827894
2.5,3.0,0.05,0.2,-0.3293273859561649,-0.006661196983169804,0.0501767595705621,-0.23505609338221,2.0164496536616374,0.9300947703829807,0.6856016237512599,6.5,526.0867113374053
2.5,3.0,0.01,0.2,-0.34336282403923285,-0.007178007617758553,0.049708948239527574,-0.23413161115802117,2.021699620973684,0.9239673038649248,0.6724301063137367,6.5,531.6521029939121
2.0,6.0,0.05,0.2,-0.48884597448228667,-0.023728518844395974,0.06720825502237518,-0.337867923608014,4.584429907774623,2.4528027402304886,1.7910547863352113,6.5,1125.2016545608158
2.0,6.0,0.05,0.05,-0.4930327311056267,-0.02443848690289141,0.06800661660369742,-0.3574248320045691,4.57360065956957,2.4786202496773155,1.801200075881217,6.5,1124.5364870481271
2.0,6.0,0.01,0.2,-0.49937099386919814,-0.02423509445292571,0.06687517700567439,-0.3338136451204228,4.597923242784678,2.4498737022654953,1.785674877707833,6.5,1135.8305579073074
2.0,6.0,0.01,0.05,-0.5029614613638042,-0.024914778441668117,0.06767901227583333,-0.35378848471806124,4.587539001971406,2.471961375212341,1.7931327268493522,6.5,1134.1945481053876
2.0,3.0,0.05,0.05,-0.6152899958178797,-0.034899138701365406,0.07162048029526509,-0.36302509586177756,5.773649342449933,3.340840098770917,2.3731074277650452,7.0,1384.3620446952239
2.0,3.0,0.01,0.05,-0.6331359806773584,-0.0360358663043413,0.07147784655939078,-0.37263341862043664,5.792495301170061,3.3236330106732526,2.3528211958566123,7.0,1391.738437114568
2.0,1.0,0.05,0.2,-0.8559875921127799,-0.056573089996401094,0.07750084673630266,-0.540623455636368,7.253075243065238,3.8417938081214382,2.7314285574574875,6.0,1521.0510256083937
2.0,1.0,0.01,0.2,-0.8671923028341825,-0.056904309917771956,0.07695360694191412,-0.5430382640357189,7.2815077282347636,3.821433652400226,2.71083847481206,6.0,1535.2825677366643
2.0,3.0,0.05,0.2,-0.8710798961729376,-0.05092995559787594,0.06994933082527124,-0.510912056353668,5.72986002938282,3.3402606284442413,2.3547333781029116,7.0,1273.8793126454257
2.0,3.0,0.01,0.2,-0.8777901325698558,-0.05115921519646849,0.06970920942654894,-0.5107347031261763,5.746909993837103,3.323063042737711,2.3360233890162587,7.0,1286.2427521234395
2.0,1.0,0.05,0.05,-0.9395703189246912,-0.059625180173941694,0.07429780323861557,-0.536924324807107,7.384422241034424,3.9437790406738817,2.7913365254888634,6.0,1603.5247284779896
2.0,1.0,0.01,0.05,-0.9430659435978022,-0.05983713221860765,0.0742651268715007,-0.5395922856975673,7.415197385219898,3.927682587021403,2.774321360151327,6.0,1619.9769548875645
1.5,6.0,0.05,0.05,-1.0461475917691863,-0.07424420049926173,0.08119595421571066,-0.6463626944844041,8.365714785997515,4.610903409465202,3.1928337816071273,6.0,1695.9074812066967
1.5,6.0,0.01,0.05,-1.0480099959734122,-0.07437137372785174,0.08118402660169781,-0.6473058978474207,8.401545543286694,4.605361473949703,3.18955866731743,6.0,1720.3626665942556
1.5,3.0,0.05,0.05,-1.1157043521156413,-0.08486475344094258,0.08610626785414031,-0.6704179444502445,10.16594683491296,5.724841239718403,3.900854257317104,6.0,1937.6846189419755
1.5,3.0,0.01,0.05,-1.1249943394968749,-0.08549201177282262,0.08601172298138163,-0.6730210940808894,10.205159604650879,5.705917787726142,3.8891075084384283,6.0,1952.569336878481
1.5,6.0,0.05,0.2,-1.150620073239928,-0.08342910613412013,0.08240040248098111,-0.6730580400095432,8.36544997560655,4.484893582449164,3.1181747613417583,6.0,1677.8073673008819
1.5,3.0,0.01,0.2,-1.1565450597011415,-0.09380938337418065,0.09118244197046294,-0.7061633308433054,10.069202055498264,5.404600896104042,3.740097358796344,6.0,1722.7915140960617
1.5,3.0,0.05,0.2,-1.1601767162402976,-0.0942708458431698,0.09132530271694213,-0.7078796831556864,10.028557593610133,5.441686064203852,3.7649516008009156,6.0,1701.3444614831342
1.5,6.0,0.01,0.2,-1.1610113337236578,-0.08426321382042012,0.08244404349014989,-0.675273518084188,8.389552331627359,4.480366272641669,3.113919620065256,6.0,1692.6693322294554
1.5,1.0,0.05,0.2,-1.530316722453594,-0.1299066393714663,0.09522601020529746,-0.8241662704626834,12.703274345631216,6.021415338411196,4.2114341422637045,6.0,1670.3639701844265
1.5,1.0,0.01,0.2,-1.5330738933594321,-0.13016363452962998,0.09524590326736389,-0.825010223120659,12.764613069460978,6.010598454405977,4.20572989396908,6.0,1686.5370079173802
1.5,1.0,0.05,0.05,-1.5726941181342133,-0.11794871887853609,0.08458705310082477,-0.7901493123355889,13.320483499449162,6.609550656692516,4.508154550914043,6.0,2008.4829061352643
1.5,1.0,0.01,0.05,-1.585594313136715,-0.11878066536269238,0.08449845016516158,-0.7924506160714906,13.398008697470926,6.601792203066796,4.503550032074133,6.0,2024.112967012593
