n,ts,tag,sharpe,cagr,vol,maxdd,median_hold_days,avg_gross,cost_drag_pct_yr,note
1,2026-07-28T20:12:03,T001_baseline_continuous,-2.7424,-0.03361,0.02122,-0.8037,,0.741,4.856,"first baseline: continuous -s sizing, 1993+ sample; 87x/yr turnover, rejected on cost"
2,2026-07-28T20:12:08,T002_sticky_riskparity,-3.0899,-0.11512,0.04283,-0.7736,5.0,2.307,12.15,sticky discrete positions + risk-parity units + cheap hedge legs; sample 2012+
3,2026-07-28T20:16:10,T003_amendment1,-1.0781,-0.03429,0.04184,-0.3632,7.0,1.111,4.362,"s_entry=2.0, cost filter, concentrated sizing, turnover fixes"
4,2026-07-28T20:17:33,T003_amendment1,-0.9485,-0.02164,0.03413,-0.2537,7.0,0.964,4.102,"s_entry=2.0, cost filter, concentrated sizing, turnover fixes"
5,2026-07-28T20:18:13,T003_amendment1,-0.8967,-0.01785,0.03187,-0.2178,7.0,0.877,3.736,"s_entry=2.0, cost filter, concentrated sizing, turnover fixes"
6,2026-07-28T20:19:41,T003_amendment1,-1.4626,-0.09486,0.07387,-0.7051,7.0,2.355,13.412,"s_entry=2.0, cost filter, concentrated sizing, turnover fixes"
7,2026-07-28T20:20:24,T003_amendment1,-0.6213,-0.03512,0.07133,-0.3726,7.0,2.352,5.782,"s_entry=2.0, cost filter, concentrated sizing, turnover fixes"
8,2026-07-28T20:21:55,T004_cluster_pairs,-1.2644,-0.04246,0.0424,-0.4452,7.0,1.414,3.697,cluster-peer hedge replaces 6-leg synthetic hedge
9,2026-07-28T20:23:02,S_e1.5_m1.0_b0.01_h0.05,-1.5856,-0.11878,0.0845,-0.7925,6.0,4.504,13.398,sweep: general book
10,2026-07-28T20:23:03,S_e1.5_m1.0_b0.01_h0.2,-1.5331,-0.13016,0.09525,-0.825,6.0,4.206,12.765,sweep: general book
11,2026-07-28T20:23:04,S_e1.5_m1.0_b0.05_h0.05,-1.5727,-0.11795,0.08459,-0.7901,6.0,4.508,13.32,sweep: general book
12,2026-07-28T20:23:06,S_e1.5_m1.0_b0.05_h0.2,-1.5303,-0.12991,0.09523,-0.8242,6.0,4.211,12.703,sweep: general book
13,2026-07-28T20:23:07,S_e1.5_m3.0_b0.01_h0.05,-1.125,-0.08549,0.08601,-0.673,6.0,3.889,10.205,sweep: general book
14,2026-07-28T20:23:08,S_e1.5_m3.0_b0.01_h0.2,-1.1565,-0.09381,0.09118,-0.7062,6.0,3.74,10.069,sweep: general book
15,2026-07-28T20:23:10,S_e1.5_m3.0_b0.05_h0.05,-1.1157,-0.08486,0.08611,-0.6704,6.0,3.901,10.166,sweep: general book
16,2026-07-28T20:23:11,S_e1.5_m3.0_b0.05_h0.2,-1.1602,-0.09427,0.09133,-0.7079,6.0,3.765,10.029,sweep: general book
17,2026-07-28T20:23:12,S_e1.5_m6.0_b0.01_h0.05,-1.048,-0.07437,0.08118,-0.6473,6.0,3.19,8.402,sweep: general book
18,2026-07-28T20:23:13,S_e1.5_m6.0_b0.01_h0.2,-1.161,-0.08426,0.08244,-0.6753,6.0,3.114,8.39,sweep: general book
19,2026-07-28T20:23:15,S_e1.5_m6.0_b0.05_h0.05,-1.0461,-0.07424,0.0812,-0.6464,6.0,3.193,8.366,sweep: general book
20,2026-07-28T20:23:16,S_e1.5_m6.0_b0.05_h0.2,-1.1506,-0.08343,0.0824,-0.6731,6.0,3.118,8.365,sweep: general book
21,2026-07-28T20:23:17,S_e2.0_m1.0_b0.01_h0.05,-0.9431,-0.05984,0.07427,-0.5396,6.0,2.774,7.415,sweep: general book
22,2026-07-28T20:23:19,S_e2.0_m1.0_b0.01_h0.2,-0.8672,-0.0569,0.07695,-0.543,6.0,2.711,7.282,sweep: general book
23,2026-07-28T20:23:20,S_e2.0_m1.0_b0.05_h0.05,-0.9396,-0.05963,0.0743,-0.5369,6.0,2.791,7.384,sweep: general book
24,2026-07-28T20:23:21,S_e2.0_m1.0_b0.05_h0.2,-0.856,-0.05657,0.0775,-0.5406,6.0,2.731,7.253,sweep: general book
25,2026-07-28T20:23:22,S_e2.0_m3.0_b0.01_h0.05,-0.6331,-0.03604,0.07148,-0.3726,7.0,2.353,5.792,sweep: general book
26,2026-07-28T20:23:24,S_e2.0_m3.0_b0.01_h0.2,-0.8778,-0.05116,0.06971,-0.5107,7.0,2.336,5.747,sweep: general book
27,2026-07-28T20:23:25,S_e2.0_m3.0_b0.05_h0.05,-0.6153,-0.0349,0.07162,-0.363,7.0,2.373,5.774,sweep: general book
