spec,group,ticker,n,beta,t
A mid->mid  (NOT executable),HY,SPHY,1903,0.2945082087517689,13.461986672679062
A mid->mid  (NOT executable),HY,SJNK,1903,0.11775313250358253,5.1739082432379915
A mid->mid  (NOT executable),HY,FLHY,1903,0.44004334919637944,21.37794143758991
A mid->mid  (NOT executable),HY,SHYG,1903,0.22381083337620705,10.018402565393265
A mid->mid  (NOT executable),HY,HYGH,1903,0.2686268877985189,12.16556774548606
A mid->mid  (NOT executable),IG,IGIB,1903,-0.0025489347939839074,-0.11119727515703956
A mid->mid  (NOT executable),IG,SPIB,1903,0.1584595160043477,7.003483090023138
A mid->mid  (NOT executable),IG,IGSB,1903,-0.13521169343441897,-5.953835898046906
A mid->mid  (NOT executable),IG,SPSB,1903,-0.1355111257434589,-5.967024527072874
A mid->mid  (NOT executable),IG_long,IGLB,1903,0.29574043886401,13.46349765321124
A mid->mid  (NOT executable),IG_long,SPLB,1903,0.451260422365863,21.95498033534063
A mid->mid  (NOT executable),MUNI,HYD,1903,-0.09246914305656603,-4.051172590337623
A mid->mid  (NOT executable),MUNI,HYMB,1903,-0.09574182419432427,-4.195649584811027
A mid->mid  (NOT executable),MUNI,TFI,1903,0.274168799123351,12.437893956597364
A mid->mid  (NOT executable),MUNI,SHM,1903,-0.06536283305669535,-2.8568453904343007
A mid->mid  (NOT executable),PREF,PFFD,1903,0.17969741970714823,8.041610563413702
A mid->mid  (NOT executable),PREF,FPE,1903,0.2413736102866055,10.855354466075754
A mid->mid  (NOT executable),MBS,VMBS,1903,0.2692272255917489,12.19536823631508
A mid->mid  (NOT executable),MBS,SPMB,1903,0.2499621437489286,11.263842940293289
A mid->mid  (NOT executable),LOAN,SRLN,1903,-0.06894379733465127,-3.0155704611610052
A mid->mid  (NOT executable),LOAN,JBBB,1138,-0.07318111032722903,-2.4757226903325154
A mid->mid  (NOT executable),LOAN,CLOI,1027,-0.04076879139426281,-1.3090675197728368
A mid->mid  (NOT executable),EM,EMHY,1903,0.11735732816889435,5.15516070332824
A mid->mid  (NOT executable),EM,VWOB,1903,0.5048553676648296,25.507476638864
A mid->mid  (NOT executable),EM,PCY,1903,0.050796591561048106,2.214504208549864
A mid->mid  (NOT executable),UST_ctl,SHY,1903,-0.10180905243027044,-4.460623759345953
A mid->mid  (NOT executable),UST_ctl,IEI,1903,-0.10332187601790327,-4.525274014440961
A mid->mid  (NOT executable),UST_ctl,TLH,1903,0.027009763159662133,1.1721284909222152
A mid->mid  (NOT executable),UST_ctl,GOVT,1903,-0.0868922495289252,-3.800198756837082
B mid sig -> close ret,HY,SPHY,1903,-0.01678398258351382,-0.809000111169197
B mid sig -> close ret,HY,SJNK,1903,-0.13530467706661856,-5.994694429406227
B mid sig -> close ret,HY,FLHY,1903,0.2770937528451927,14.969507337300717
B mid sig -> close ret,HY,SHYG,1903,-0.046443519036672196,-2.454659216088428
B mid sig -> close ret,HY,HYGH,1903,0.17500908288057945,8.602117885705459
B mid sig -> close ret,IG,IGIB,1903,-0.053444086244750506,-2.3193772864910036
B mid sig -> close ret,IG,SPIB,1903,-0.13400226569930376,-5.998044015160143
B mid sig -> close ret,IG,IGSB,1903,-0.10821530564163354,-3.8057586083376234
B mid sig -> close ret,IG,SPSB,1903,-0.026527264332367986,-0.9607508861197421
B mid sig -> close ret,IG_long,IGLB,1903,0.09325206770191002,3.4882676658377845
B mid sig -> close ret,IG_long,SPLB,1903,0.2627568644514618,8.032238654441631
B mid sig -> close ret,MUNI,HYD,1903,0.4723567411419749,13.345948899054267
B mid sig -> close ret,MUNI,HYMB,1903,0.6529214560613537,15.529909425073663
B mid sig -> close ret,MUNI,TFI,1903,0.84057564676048,25.239877913897313
B mid sig -> close ret,MUNI,SHM,1903,0.2380131481391249,7.520731399573012
B mid sig -> close ret,PREF,PFFD,1903,-0.013684244109851088,-0.49832500883438413
B mid sig -> close ret,PREF,FPE,1903,0.13517464716364969,5.74773040311812
B mid sig -> close ret,MBS,VMBS,1903,0.41570546347201726,10.349802415321061
