pair,klass,n,trades,gross_sr,net_sr,cagr,vol,k_med,sigma_bp,cost_bp,hl,time_on
BKLN/SRLN,LOAN,1652,42,0.7643704895344163,0.540259050564351,1.940792794536228,3.683504722366698,0.75,370.4611563112193,7.3100000000000005,13.513407333964874,79.67436974789915
TLT/TLH,UST_ctl,1652,30,0.36559657301095255,0.28790227613636554,0.7466072497737342,2.7113078831473643,0.75,271.7281550754476,2.055972229600072,13.513407333964874,82.6155462184874
HYD/HYMB,MUNI,1652,30,0.4821603448058765,0.2178580214140303,1.006779507105704,5.24164194264192,0.75,181.78070321899955,15.001223469002332,13.513407333964874,82.24789915966386
IGLB/VCLT,IGL,1652,38,0.6075106449538736,0.21266805601477423,0.3369276055693371,1.645189017047453,0.75,41.72863401230467,5.555866809310527,13.513407333964874,80.72478991596638
SPLB/IGLB,IGL,1652,42,0.7512477618894642,0.135101123518058,0.18454550298681038,1.4414055223749198,0.75,31.800966393350148,6.7331939877685105,13.513407333964874,78.25630252100841
IGIB/VCIT,IG,1652,32,0.2913242059548151,0.12382039995390665,0.21527797308804608,1.8796435984560982,0.75,70.3527072161364,3.140219730941051,13.513407333964874,82.09033613445378
HYG/USHY,HY,1652,40,0.27117419038871465,0.08709633308589154,0.19366422015347773,2.6156656009212846,0.75,132.8210421600806,3.9880000000000004,13.513407333964874,81.61764705882352
VWOB/EMB,EM,1651,45,0.32149079761894545,0.08008627835593932,0.18161772164910772,2.733045770767444,0.75,98.3366209965834,4.9033543278540765,13.513407333964874,80.66211245401996
JNK/USHY,HY,1652,31,0.22013547615845538,0.045635314748115906,0.07330958035320911,2.0797251745330483,0.75,105.66357480187816,3.766,13.513407333964874,82.72058823529412
HYG/JNK,HY,1652,27,0.1689660615890084,0.04386067648984594,0.054540423517579484,1.4993848280000022,0.75,137.605070373467,2.314,13.513407333964874,82.03781512605042
LQD/VCIT,IG,1651,25,0.08708941738157674,0.016064604341295315,0.008301232474838827,2.56761576237198,0.75,358.18264215026807,2.148,13.513407333964874,82.55386232264846
IGSB/VCSH,IG,1652,53,0.3217101137263799,-0.025216326225606513,-0.05088227129913525,1.5458670671880554,0.75,57.95642794363361,3.2800000000000002,13.513407333964874,78.93907563025209
SPHY/USHY,HY,1652,38,0.4106920064220152,-0.036009013599038506,-0.11268263065502548,2.359935126625721,0.75,100.17848807465198,8.950000000000001,13.513407333964874,80.0420168067227
MUB/TFI,MUNI,1652,32,0.2455359468304074,-0.04484168402796416,-0.11368593113738612,2.0634923846751643,0.75,148.2752902173328,6.501092601509743,13.513407333964874,80.14705882352942
SPMB/MBB,MBS,1652,33,0.32626553443125716,-0.13100688110897554,-0.4257613384453185,2.9342556426395277,0.75,125.57826628980193,12.425241172964466,13.513407333964874,80.40966386554622
SPIB/IGIB,IG,1652,28,-0.0592575257968413,-0.1538237157090843,-0.6614518406341641,3.8361080352853296,0.75,75.97374086040692,4.925901288846855,13.513407333964874,83.03571428571429
MBB/VMBS,MBS,1652,26,0.005629401475941189,-0.16552635281653674,-0.26400140028606245,1.526601060412367,0.75,107.22181861659631,3.2340884031164148,13.513407333964874,82.30042016806722
SHY/IEI,UST_ctl,1652,39,-0.04404054601036882,-0.2523424679205032,-0.21018165307550296,0.8204665476406943,0.75,148.01669509533437,2.094,13.513407333964874,78.93907563025209
SJNK/JNK,HY,1652,32,-0.23786864283656495,-0.3944699268387638,-1.1324810511087469,2.7878025817135046,0.75,262.62941742616954,5.058,13.513407333964874,81.98529411764706
SPSB/IGSB,IG,1652,15,-0.2744573173718143,-0.40196530437843975,-0.653362980286476,1.5988620161261893,0.75,174.28345066159656,5.3117838136125615,13.513407333964874,84.29621848739495
EMB/PCY,EM,1651,29,-0.1259091058870348,-0.43471705563660873,-1.4627352758841083,3.2668919533322622,0.75,158.6696890183299,13.052576987807186,13.513407333964874,82.02837624802942
SHYG/HYG,HY,1652,35,-0.3536861093165593,-0.4468794487606975,-1.6760918939371705,3.6329458499658425,0.75,229.0095598602494,3.6260000000000003,13.513407333964874,81.46008403361344
IEF/IEI,UST_ctl,1652,24,-0.37804631364818764,-0.4558854136112032,-1.1290194164768397,2.426060643870434,0.75,678.4603086250228,1.896,13.513407333964874,83.08823529411765
PFFD/PFF,PREF,1652,25,-0.18572495929095417,-0.456790068027637,-2.2489028565206293,4.733794534652126,0.75,231.9712822711051,16.652919752736764,13.513407333964874,82.09033613445378
PFF/PGX,PREF,1652,34,-0.12983610280870744,-0.7739456088065049,-3.275707995854993,4.189682497160318,0.75,140.3657217698942,26.431467907615417,13.513407333964874,81.82773109243698
