pair,klass,h1,h2,h5,h10,h21
HYG/JNK,HY,-1.067962611841214,-0.9367635620139168,-0.6564261287631206,-0.14908262316761062,-1.4194431066858602
HYG/USHY,HY,-1.9204638068979505,-2.1384694246706237,-2.918882149879043,-2.0000134831974843,-1.908534666255868
JNK/USHY,HY,-1.8109438903261754,-1.5622270243112684,-1.0965387652606196,-1.3677429147369682,-0.07367585905154649
SHYG/HYG,HY,0.968898402128727,1.4874202864382826,1.6454547755387408,1.3624836734021297,1.2010054084537714
SJNK/JNK,HY,-0.39347088593537805,1.2966596370091246,1.5741730710367103,1.4291522978748543,0.9173550315653535
SPHY/USHY,HY,-2.7781281799797704,-2.369198511809428,-1.8469291222680084,-1.9791140806323821,-1.773617408609105
LQD/VCIT,IG,0.8912444626071431,0.7592829321980892,0.2587440493399549,-0.2284363833517458,-0.6724039739084988
IGIB/VCIT,IG,-2.3338987997734364,-1.9329557799997596,-1.3403536870917718,-1.3066136856643227,-0.8889504768217708
IGSB/VCSH,IG,-1.1869362880134775,-0.3032628627046658,-0.37756929675743256,-1.0376245629876708,-1.926962685021668
SPIB/IGIB,IG,-0.895163604918692,-0.6877012522371521,-0.3812438944531384,-0.8452623984849371,-1.1241269555647406
SPSB/IGSB,IG,0.6618244826266739,0.584014625118165,0.0750215045641717,0.05853671857377268,0.24346428873841783
IGLB/VCLT,IGL,-3.5792842794228883,-3.381240022905521,-2.1228011744584676,-1.8552506745280197,-0.9893235108601449
SPLB/IGLB,IGL,-3.1976849781348613,-2.690667763424049,-3.215132876691334,-2.4653022506475786,-1.8643875579370695
MBB/VMBS,MBS,-1.3357803838536093,-1.0656385535830013,-0.6462216806010909,-0.3644770306341545,0.04784013523768212
SPMB/MBB,MBS,-1.4593834268499244,-1.0855977288785263,-0.6500055005056302,-0.06734712807444779,0.5930090419656884
PFF/PGX,PREF,0.0693215535931048,0.050109787118684176,0.07121236692294736,0.07922538273996256,0.5669206679620767
PFFD/PFF,PREF,0.254111534839634,0.5658196074202035,1.1909213161588896,1.4300331216496152,1.5551228161193191
MUB/TFI,MUNI,-1.1340485839521566,-1.2303178969779904,-1.484375544923213,-1.1566492236382093,-1.151607887598408
HYD/HYMB,MUNI,-1.2504700480987618,-1.270362826411346,-0.3024774840010725,-1.4655346177025825,-0.47921630155520384
EMB/PCY,EM,-0.22528193697341256,0.08378069679708679,0.33286754328751594,0.18352460990042582,0.5609938314497399
VWOB/EMB,EM,-2.1883614144809878,-1.9327017039203727,-1.5149253475509845,-1.576641988580318,-2.0473599811956436
BKLN/SRLN,LOAN,-1.7244318472080278,-1.612652497130196,-1.2988443102264966,-1.3347430765280084,-2.091511522136075
IEF/IEI,UST_ctl,0.9373796039939584,0.9452497814396807,1.3258537047830166,1.5674870555769058,1.663182296930014
TLT/TLH,UST_ctl,-1.1116142816643275,-1.0452381058234363,-0.8525087337860784,-0.6061837513367901,0.2138733097284538
SHY/IEI,UST_ctl,0.5252157260490646,0.48388898090659926,0.10944393964197814,0.06951083195174047,0.2556557795906286
