pair,klass,gross_sr,trades,time_on,n,sharpe,cagr,vol,maxdd
IGIB/VCIT,IG,0.4597436953395085,22,91.7625681405209,1651,0.32490020992046,0.5043316229551786,1.5869706557312215,-1.4016557543127472
TLT/TLH,UST_ctl,0.36595220208636475,26,89.27922471229557,1651,0.29770795880249057,0.7656239436534484,2.682917517121084,-5.102064168378783
BKLN/SRLN,LOAN,0.4312846934962829,32,82.98001211387039,1651,0.25360863700684955,0.8372928430835813,3.5338377783089596,-8.937500122532427
HYD/HYMB,MUNI,0.398812019362479,22,90.67231980617807,1651,0.21313961947741528,1.0298210841861666,5.5016089026278,-9.472097540983848
SPHY/USHY,HY,0.48880923024706646,29,85.76620230163537,1651,0.13118338338295404,0.26993309980030133,2.246771096163911,-1.9948775041417455
HYG/USHY,HY,0.24010450636311392,27,88.67353119321623,1651,0.12467024896676622,0.30985419669016245,2.7961093345222063,-3.87063488440359
HYG/JNK,HY,0.2204591539195263,21,92.24712295578438,1651,0.12275342457623988,0.17334602505527652,1.5029217657888183,-2.1097996236240313
VWOB/EMB,EM,0.2959028523152121,32,87.03030303030303,1650,0.11678615116958052,0.27266321420129636,2.6279826755995286,-3.71654398865251
IGLB/VCLT,IGL,0.45190340100480403,32,87.76499091459722,1651,0.10782964679812519,0.159169035403961,1.5924056383173093,-1.6975146011744768
EMB/PCY,EM,0.3463664444391683,23,89.03030303030303,1650,0.09426133596109085,0.25100162119340297,3.2030904445029167,-3.7372730286515776
MUB/TFI,MUNI,0.2965275218040335,25,88.18897637795276,1651,0.06430346359567246,0.10887521706148817,2.0033720421406787,-3.224566532397488
SHY/IEI,UST_ctl,0.21533479713070647,33,88.85523924894004,1651,0.03696168495509753,0.02678736855385999,0.8142634694107079,-1.6240616569820232
JNK/USHY,HY,0.16991067944897126,26,91.03573591762569,1651,0.021702508234764658,0.02349629126752184,2.0570935663683128,-2.734854518231311
LQD/VCIT,IG,0.0819975137507045,24,92.06060606060606,1650,0.014401086402456801,0.003907524032942256,2.580389092185,-6.440835046998816
IGSB/VCSH,IG,0.20568681195077795,40,83.94912174439733,1651,-0.05923473332360767,-0.102322649091946,1.530898230748748,-2.68402649147903
SPLB/IGLB,IGL,0.2711406993660955,31,85.58449424591157,1651,-0.12436514870018603,-0.21859238888928267,1.6501183192753794,-2.6055477638618707
SPIB/IGIB,IG,-0.06770882453550675,23,92.06541490006057,1651,-0.14501069215704163,-0.6320564697250397,3.8578535108971193,-6.455004592502167
MBB/VMBS,MBS,-0.015720605655730007,21,90.85402786190187,1651,-0.15523720716134926,-0.24734362625832285,1.5207784228767447,-2.2910520898619224
SPMB/MBB,MBS,0.00025443976092696794,19,88.85523924894004,1651,-0.2537384038946075,-0.8229424779909067,3.0736639050855703,-10.019638630501026
SPSB/IGSB,IG,-0.1438291601670861,14,95.0938824954573,1651,-0.2589878789504654,-0.4326778098195594,1.6232490863120477,-3.9878456282085306
PFFD/PFF,PREF,-0.053891347705712765,21,90.79345850999394,1651,-0.28431673338319124,-1.4495298295312709,4.740044703335962,-12.239466314217806
IEF/IEI,UST_ctl,-0.22350166158975146,24,91.5808600847971,1651,-0.3035754353386402,-0.7409934712313659,2.358373773522816,-7.8745219449305015
SJNK/JNK,HY,-0.3029646824850025,25,90.12719563900666,1651,-0.4220030432088049,-1.2743913446905286,2.9359641429858736,-9.106742760981756
SHYG/HYG,HY,-0.391916118904231,27,88.85523924894004,1651,-0.4626248490705327,-1.7855702329944267,3.7410764258926585,-12.375619004948435
PFF/PGX,PREF,-0.01694788810589533,27,90.61175045427014,1651,-0.5211307119234535,-2.2489432272026377,4.1956581819040135,-15.890732038354694
