grp,ticker,h,n,beta,t
CREDIT,HYG,1,1978,-0.03208946133051,-0.09297367971910132
CREDIT,HYG,3,1976,-0.2661703978315192,-0.3625419770781363
CREDIT,HYG,5,1974,-0.42253108734872863,-0.5201249297726489
CREDIT,HYG,10,1969,0.20801162754588065,0.20646357159396217
CREDIT,JNK,1,1978,-0.158755032017112,-0.47097284831630426
CREDIT,JNK,3,1976,0.08953262865270868,0.11941473034182656
CREDIT,JNK,5,1974,-0.40215668443824903,-0.4755651545894125
CREDIT,JNK,10,1969,-0.38513366934948157,-0.38638258296188105
CREDIT,USHY,1,1977,0.06501862280839395,0.14607099653992137
CREDIT,USHY,3,1975,-0.39174329354261295,-0.40658316718750537
CREDIT,USHY,5,1973,-0.17750115995879912,-0.14181420672908007
CREDIT,USHY,10,1968,-0.6814017394590871,-0.4100569541974281
CREDIT,SHYG,1,1978,-0.23337725176393753,-0.5806878753114507
CREDIT,SHYG,3,1976,-0.6507172744434094,-0.6952681566315816
CREDIT,SHYG,5,1974,-1.1513956173362254,-0.9257267617182612
CREDIT,SHYG,10,1969,-2.6603202148297256,-1.4396276822233132
CREDIT,LQD,1,1977,0.3246773036011936,0.5033818955217707
CREDIT,LQD,3,1975,0.720138053150781,0.512764248001039
CREDIT,LQD,5,1973,1.0735470252206836,0.5138791045611457
CREDIT,LQD,10,1968,0.7391905796497198,0.2160341652352876
CREDIT,EMB,1,1977,-0.16799312794022517,-0.3016925331767699
CREDIT,EMB,3,1975,-0.8952853023713373,-0.6468833074164995
CREDIT,EMB,5,1973,-1.2108590722294463,-0.5728577753298237
CREDIT,EMB,10,1968,-1.6015898890388884,-0.46831791160776204
CREDIT,ANGL,1,1978,1.1689387855252116,2.2611286561106017
CREDIT,ANGL,3,1976,2.835437380455495,2.424696845825421
CREDIT,ANGL,5,1974,3.541473767730295,1.948596696721597
CREDIT,ANGL,10,1969,3.630017204951884,1.2108882654046424
CREDIT,BKLN,1,1978,-0.12935013367122258,-0.2154148716732025
CREDIT,BKLN,3,1976,0.4138890055958649,0.3330129549815448
CREDIT,BKLN,5,1974,0.6299994064894546,0.3722454660813653
CREDIT,BKLN,10,1969,1.367270562092455,0.49620021021403826
CREDIT,PFF,1,1978,2.4621813143894435,2.6675475565894295
CREDIT,PFF,3,1976,-0.42724670555688243,-0.19002677452135663
CREDIT,PFF,5,1974,-3.982057058954212,-1.2350972515529515
CREDIT,PFF,10,1969,-8.839496200642598,-2.1701150098078696
CREDIT,MBB,1,1978,-0.9186737288077449,-1.1644323476245182
CREDIT,MBB,3,1976,-1.8633089145649508,-0.8151115242929714
CREDIT,MBB,5,1974,-3.507197689813083,-0.923858081883194
CREDIT,MBB,10,1969,-7.949810124182058,-1.4231889468001484
RATES-ctl,SHY,1,1978,0.6982092570537947,0.8353654469401774
RATES-ctl,SHY,3,1976,2.0166202813965834,1.0711797959041125
RATES-ctl,SHY,5,1974,2.10646313510464,0.7713031850593509
RATES-ctl,SHY,10,1969,-1.006294154797197,-0.24865967812658415
RATES-ctl,IEF,1,1978,-0.1119091172568197,-0.3925486232101029
RATES-ctl,IEF,3,1976,0.2049461444527674,0.3543016635769475
RATES-ctl,IEF,5,1974,0.37911025417493927,0.5405509597227177
RATES-ctl,IEF,10,1969,0.09200730430111023,0.10220745778621826
RATES-ctl,TLT,1,1978,2.432146248327629,2.593128379115144
RATES-ctl,TLT,3,1976,2.4592275465597693,1.32746649640815
RATES-ctl,TLT,5,1974,4.98519356344776,1.852989700519687
RATES-ctl,TLT,10,1969,6.7358105243906,1.5087788927494876
