fund,asof,reported_nav,recon_nav,err_pct,n_holdings
HYG,2026-07-29,79.123845,80.54528627439143,1.7964764912415803,1331
LQD,2026-07-29,106.164099,106.64737286964285,0.4552140263940429,3147
SHY,2026-07-29,81.978347,81.73007205475261,-0.30285429547315496,91
TLT,2026-07-29,82.831009,82.6730014285771,-0.19075896011709778,48
IGIB,2026-07-29,52.27166,52.23598808919831,-0.06824330966663192,2991
IEF,2026-07-29,93.144477,93.09663582756107,-0.05136232869601257,15
SHYG,2026-07-29,41.991932,41.97340250049806,-0.044126332415325896,1163
GOVT,2026-07-28,22.569838,22.57687153387846,0.031163422078880263,216
AGG,2026-07-29,97.558801,97.53949681804974,-0.019787227551372907,13311
EMB,2026-07-29,94.821962,94.83317321211925,0.011823434026021927,616
IEI,2026-07-29,116.550086,116.53825757841207,-0.010148788382636983,85
IGSB,2026-07-29,52.126506,52.121304291479724,-0.009979008607012535,4654
