book,N,start,end,cagr,vol,sharpe,maxdd,gross_sharpe,turnover,tcost_bp_yr,fin_bp_yr,avg_gross,avg_net,pair,hold,control
ANGL/HYG h=21,3309,2013-06-03,2026-07-29,-0.04948912861285626,7.278038055276272,0.02903665082555999,-19.782031853948013,0.18231873944822666,9.973790738671493,76.49936069748605,-158.06247265965146,1.3081230406254452,-0.03309101956467016,ANGL/HYG,21,False
ANGL/HYG h=42,3309,2013-06-03,2026-07-29,0.07832860744119152,7.278331120301596,0.04678223297464268,-19.902792099103493,0.16887118562460296,6.383097268902793,54.9271091919612,-159.2508310406709,1.2743602247456527,-0.024676026677194436,ANGL/HYG,42,False
ANGL/HYG h=63,3309,2013-06-03,2026-07-29,-0.06647791848218843,7.418952627504589,0.027731817952489697,-21.019432528152514,0.13285924104034313,5.2587355545381556,44.83518709679762,-159.92174413073278,1.2578455067463743,-0.019042696251325368,ANGL/HYG,63,False
FALN/HYG h=21,2302,2017-06-01,2026-07-29,0.9049106966602771,7.039040147321843,0.1629138572257102,-15.88366897870318,0.29083288640337696,11.399647419410694,51.78803411333114,-227.85123044957075,1.5425295517391535,0.014025355688528654,FALN/HYG,21,False
FALN/HYG h=42,2302,2017-06-01,2026-07-29,1.4030550122353214,6.778698927368078,0.23920453186249316,-15.078653384465346,0.3385983989714939,7.094796119529885,30.189009421377232,-229.52579784961767,1.4997268363156855,0.013444796828284465,FALN/HYG,42,False
FALN/HYG h=63,2302,2017-06-01,2026-07-29,1.1469986699676582,6.949925380689502,0.19859460028237322,-15.61422990529776,0.2872872938466567,5.871407563458446,24.738984788759797,-230.46247686761984,1.4870098495058648,0.012042860914906774,FALN/HYG,63,False
ANGL/JNK h=21,3309,2013-06-03,2026-07-29,-0.1888959050870942,7.178490662955371,0.009058132701542572,-20.380596848466926,0.16394036685027838,9.987817908774296,75.9398093158434,-158.2070183065038,1.3138865898883862,-0.03781561325929654,ANGL/JNK,21,False
ANGL/JNK h=42,3309,2013-06-03,2026-07-29,-0.09115784412889738,7.175866612952771,0.022857296374259373,-20.99865158890014,0.14645921626656394,6.401523712751026,54.56060686897494,-159.35544468519504,1.2799830015392322,-0.030044417264544418,ANGL/JNK,42,False
ANGL/JNK h=63,3309,2013-06-03,2026-07-29,-0.17211294785713926,7.315229657139525,0.012685980930362675,-21.89309982044826,0.11921852400777762,5.259066211071812,44.51813923517679,-159.95706702206581,1.2628415626591452,-0.024545015421272364,ANGL/JNK,63,False
IEF/TLT h=21,3309,2013-06-03,2026-07-29,0.15580227274420988,2.552598121488609,0.073771689339007,-5.037848103140529,0.1912785526183278,7.311082189816013,4.406290091583551,-168.57252532728032,0.9931116762881028,0.049006778602698184,IEF/TLT,21,True
IEF/TLT h=42,3309,2013-06-03,2026-07-29,-0.021497043196228027,2.5155797355771687,0.0040511813453085795,-5.467373011209586,0.11337569400208203,4.565709036970659,2.8444780617322922,-169.09845598423286,0.9679281160857157,0.06207319156357588,IEF/TLT,42,True
IEF/TLT h=63,3309,2013-06-03,2026-07-29,-0.08139533275446365,2.503678575598171,-0.019983819738608608,-6.051150217051971,0.08537954910662576,3.655285459172093,2.422466253047078,-168.98768663084402,0.9538254708024793,0.07415914593798818,IEF/TLT,63,True
