k,car_bp,se_bp,t,n
-40,,,,2724
-39,1.9089991560268265,3.436737362450119,0.5554684442531456,2724
-38,-1.3785542017652572,4.783921821734797,-0.28816403217587516,2724
-37,-13.395700359114171,6.250071791714294,-2.143287438213561,2724
-36,-23.310192685808556,6.70056274390954,-3.4788410431640684,2724
-35,-41.3349839402387,7.496987323568966,-5.513545929348196,2724
-34,-45.95297514998884,8.255474348082009,-5.566363992235658,2724
-33,-55.278841429080245,8.31841310264242,-6.645359006217233,2724
-32,-83.50358917947541,9.142035265973046,-9.134026149546644,2724
-31,-103.19041150537106,9.998634926426911,-10.320449967888461,2724
-30,-122.88809570671596,10.651494178614772,-11.537169682112859,2724
-29,-141.99482196787602,11.312781847594716,-12.55171573896004,2724
-28,-192.21243331678198,12.480782026855767,-15.400672241786221,2724
-27,-215.2484553353984,13.240155474889649,-16.25724529773261,2724
-26,-204.0611550203661,12.944406813480242,-15.764426903506912,2724
-25,-190.29102741668186,12.50949477360675,-15.211727640525401,2724
-24,-151.739587672529,11.834092514748038,-12.822241121017612,2724
-23,-144.13429374180168,12.825645207630535,-11.237976055664625,2724
-22,-141.1768699246611,13.37851870611755,-10.55250383288739,2724
-21,-146.6179851602831,13.445877896961496,-10.904307348605023,2724
-20,-140.32362056439226,14.16908791830424,-9.90350411921124,2724
-19,-129.2268208000032,13.893738696834921,-9.301083287930402,2724
-18,-127.37641266471512,14.244821982161366,-8.941944857171764,2724
-17,-132.7899391601565,14.408806208287666,-9.215887648192416,2724
-16,-143.17126383345243,15.27976296114779,-9.3699924663424,2724
-15,-135.07483928779914,15.582906923656056,-8.668141313399305,2724
-14,-159.27719677521262,16.537539265790564,-9.631251313470335,2724
-13,-233.82269962395986,17.823535290027547,-13.118760998823062,2724
-12,-237.72216339317322,18.044591068751615,-13.174150773903886,2724
-11,-229.41714840289444,17.95028913716371,-12.78069376208077,2724
-10,-235.20756598578294,18.482474760136892,-12.725977935221097,2724
-9,-245.971592361878,18.949804177589886,-12.980165391511802,2724
-8,-255.08226906101123,19.796981574960174,-12.884907130673247,2724
-7,-244.89540471058345,19.797860265508984,-12.369791554556537,2724
-6,-233.7012062664642,20.83725385036779,-11.215547305065789,2724
-5,-231.80169499697234,21.40165924942257,-10.831015123429111,2724
-4,-234.23640120573407,21.63503025240493,-10.8267193746908,2724
-3,-244.01236528407162,21.844305803060102,-11.170525055087293,2724
-2,-264.10520019210827,22.532140970617352,-11.721265215609563,2724
-1,-294.78918766078857,22.980971697229776,-12.827533645860749,2724
0,-368.22754191572835,23.835861355295272,-15.448468021648587,2724
1,-420.2156161048691,24.40037363523299,-17.221687765391327,2724
2,-424.20994526068,24.267282826550677,-17.480735206026225,2724
3,-421.39021601343586,23.954781467229903,-17.591069097829045,2724
4,-406.2601433365802,24.081114408433624,-16.87048765460376,2724
5,-388.86578900620384,23.43188980142644,-16.595579456102225,2724
6,-371.9317744675804,23.360835440011453,-15.921167520856354,2724
7,-348.7802226706601,23.719494717099106,-14.704369837154607,2724
8,-345.2408081895945,24.308931599349314,-14.202220561550128,2724
9,-322.5466770902924,24.38986915223458,-13.22461695374618,2724
10,-290.32077476211134,24.067908678372508,-12.062567572520102,2724
11,-259.56891992496804,24.038751858308764,-10.79793665889731,2724
12,-252.98771002374048,24.148506434822572,-10.476329486734953,2724
13,-222.64376003000754,24.076822603118,-9.24722351034703,2724
14,-197.5276002146116,23.70965978926814,-8.33110225833016,2724
15,-176.83640658704226,23.6140726091205,-7.488602644456274,2724
16,-167.86259912733883,23.706962213143324,-7.080730024291113,2724
17,-152.67365470537132,24.21328880600761,-6.30536627752489,2724
18,-153.68500229436486,24.78943464370009,-6.199617074906623,2724
19,-149.19226749681656,24.692348510332494,-6.04204445901074,2724
20,-138.67871150289415,24.7933635295575,-5.593380314759141,2724
21,-131.81851387186245,25.035141322890045,-5.265339315314294,2724
22,-124.76139865963586,25.49713106854159,-4.8931543836932585,2724
23,-119.44020124434125,25.703135094775845,-4.646911779591332,2724
24,-106.5313898310448,26.108894062540315,-4.080272016725921,2724
25,-89.26812917847191,26.510417381827942,-3.367284939076908,2724
26,-82.45786513669678,26.608600297561594,-3.0989178015595655,2724
27,-75.64633150516873,26.98120996179594,-2.803667130283638,2724
28,-65.88339527241577,26.835676227599336,-2.4550674525077754,2724
29,-62.782407008662744,27.079623087033042,-2.318437254716659,2724
