k,cust_sell_par,cust_buy_par,imb
-40,3541407688.33,3623301310.2,-0.011430139296208987
-39,2903866681.98,3132077634.36,-0.03780865767137822
-38,3116411579.87,2659459445.31,0.0791139782325315
-37,2819543439.08,2572223717.97,0.045869881600250025
-36,3051840492.69,2982285811.28,0.01152688523676379
-35,2835111529.34,3563715367.38,-0.11386522089126647
-34,2466685700.0,2677401511.03,-0.04096272135087083
-33,2724214797.96,2496738173.55,0.04356994319836006
-32,3130539365.25,3123159948.52,0.0011800082414821745
-31,2514783872.9,2458207181.62,0.011376793293962816
-30,2673649107.98,2687244089.37,-0.0025359545302488296
-29,2683938783.56,2554689476.42,0.024672357099164224
-28,2763119038.55,2914667013.13,-0.02669138519848919
-27,2386301839.3,2390611113.85,-0.0009021044746394395
-26,2811192350.53,2685344392.91,0.02289586397656619
-25,3195102169.43,3025391198.12,0.027282558035560164
-24,3017868845.05,3171952633.65,-0.024893090879958772
-23,3004561065.72,3011780819.15,-0.0012000237965459817
-22,2802851957.36,2706736489.14,0.017445126646629696
-21,2891300136.83,3161977056.88,-0.044715764929989056
-20,2781625260.38,2971103487.89,-0.03293710442491851
-19,2825720048.79,3281808162.91,-0.07467638270524665
-18,2815154435.04,2824264790.78,-0.0016154776538492856
-17,2473585868.01,2494254805.13,-0.004160547505428705
-16,2995974285.0,2749510842.7,0.042896889787732
-15,3681728097.92,3431879190.78,0.035122673630984105
-14,3652943609.83,3426319384.53,0.03201240376018657
-13,3487277466.04,3615009159.83,-0.017984587291188542
-12,3397994059.81,3023261180.27,0.058358197194997546
-11,3658523943.3,3596191417.29,0.00859200160334491
-10,3173050894.41,3221506728.73,-0.00757766794448031
-9,3171187608.41,3344932290.2,-0.02666382517409827
-8,3217523503.61,3120127061.2,0.015367909829361228
-7,3180080035.57,3269407678.03,-0.013850346946414878
-6,3345561350.59,3644729510.36,-0.042797669756669064
-5,3402123460.35,3093577226.42,0.0475000694780204
-4,3860094705.44,3740176367.88,0.0157781658579207
-3,3849884588.27,4433003758.93,-0.07040046252188363
-2,5105790626.46,5237944808.21,-0.012776253084262702
-1,7797173845.36,7432104199.36,0.02397156614568278
0,12581491277.47,11007460983.13,0.06672743566356108
1,12793274761.35,11658715717.4,0.04639945549365354
2,10267327329.56,8936628981.05,0.06929292730033978
3,8305833525.64,7313541183.11,0.06352958175554345
4,8862153195.9,7716955848.0,0.06907472198099544
5,7830410896.83,7345708378.08,0.031938502193465036
6,7898476517.93,7208408563.58,0.045679036454351916
7,7484974843.32,7283769198.84,0.013623747822131816
8,7856162096.73,7273333825.96,0.03852264964729728
9,8181627172.2,7753345478.01,0.0268768389875056
10,7145117401.7,6975405070.2,0.012018842209112975
11,6197108343.15,6145880006.33,0.004150399835883983
12,6282105505.08,6459700391.32,-0.013937968266348843
13,6725013826.27,7054999421.56,-0.0239466820064171
14,7472655945.82,6893669793.48,0.040301616630907
15,6877151087.93,6319365103.04,0.04226766949838453
16,4865465620.09,4807113835.87,0.006032701461454046
17,4461061758.65,4475193319.8,-0.0015813739677238152
18,4746681500.32,4872666005.05,-0.013096990690862313
19,4719222281.16,4874496178.12,-0.016184954521966787
20,4723293258.57,4422885858.46,0.03284512540877832
21,4394984507.65,4377506916.18,0.0019923178747741355
22,3682919299.03,3672193496.55,0.0014582784490328427
23,4168716524.4,3961407457.94,0.025498881309843523
24,3581359709.26,3609869470.38,-0.003964518499941217
25,4020377255.27,3992698541.01,0.0034541934911996404
26,2782976846.53,3067014972.99,-0.0485535937866158
27,2864451993.43,3128497961.14,-0.04405943145055774
28,2885701803.53,3127256637.31,-0.040172377068060185
29,3531448952.76,3456479315.58,0.010728449735190188
30,3179780734.32,3562287330.52,-0.05673431245744584
31,2861162471.92,3639071968.07,-0.11967406765581164
32,2984683583.18,2905924376.95,0.013370301802984338
33,3230395392.84,3573510074.84,-0.05042907836240051
34,3324551720.27,3827977943.27,-0.07038436003505358
35,2966906216.84,3129204953.88,-0.026623323048885796
36,3185038949.79,2946689246.23,0.038871537671012334
37,3068368511.17,2655140027.47,0.07219845675257615
38,3343220154.69,3127996496.71,0.03325860801360096
39,2449024091.38,2590638473.76,-0.02809997307350797
40,2943899300.69,3392471941.08,-0.070793301603442
41,2948183674.9,2929396826.38,0.003196357500489979
42,3095898072.17,2961479575.57,0.02219087275335248
43,3323863181.65,3262532661.19,0.009311696703846276
44,2625713193.49,2674539106.42,-0.009211997876182118
45,3065652962.4,2641449263.56,0.07432908716974038
46,2912006987.8,3042386357.31,-0.021896331322664934
47,2903278678.13,2755208884.95,0.026167733255457345
48,3169881579.88,3148588624.61,0.0033699542105728197
49,3042613045.77,3031995224.66,0.0017479021917652866
50,3175219025.0,2787876437.0,0.06495663040586085
51,3092339940.38,3173185426.6,-0.012903225425606653
52,3137749557.3,3095930332.91,0.006708593499592026
53,3237373898.85,3394417082.27,-0.02368035781994415
54,3612002275.26,3438899058.71,0.024550508984719357
55,3435197843.24,3531553110.5,-0.013830732273883466
56,3467213239.79,3528562769.0,-0.00876951022058397
57,3191640303.23,3148569197.41,0.006793325333437712
58,3968191015.97,4058645927.0,-0.01126906048704798
59,3138381083.3,3340649096.7,-0.031218871926909225
60,2737969301.84,3043683326.67,-0.05287658122566696
