group,h,n,beta_bp,t
CREDIT,1,28025,0.2907786247749496,0.7727909183821121
CREDIT,2,28019,-0.28188510573468906,-0.45444280449402796
CREDIT,3,28013,-0.2873996251992858,-0.3193518786522409
CREDIT,5,28001,-0.7250824792522262,-0.5676895579467376
CREDIT,10,27971,0.5681258074421182,0.30630163704415936
CREDIT,21,27905,-0.8640697106987298,-0.3100721466848648
UST-control,1,26351,-0.15163450256423863,-0.4494492411045433
UST-control,2,26346,-0.24457583286870715,-0.47995607086358044
UST-control,3,26341,-0.3000153222605926,-0.47752215036054524
UST-control,5,26331,-0.37566820518142524,-0.4511488051761338
UST-control,10,26306,0.27425432568339003,0.2299883271521016
UST-control,21,26251,-0.015839333082576162,-0.00912720569941529
