ticker,group,n_days,start_date,end_date,years,last_close,median_dollar_volume_21d,pct_days_with_volume
SPY,equity,8432,1993-01-29,2026-07-30,33.46,741.69,33094493380.96,1.0
QQQ,equity,6890,1999-03-10,2026-07-30,27.34,683.55,27815447976.2,1.0
HYG,hy,4857,2007-04-11,2026-07-30,19.27,79.47,2277810069.01,1.0
TLT,rates,6039,2002-07-30,2026-07-30,23.96,82.8,1864984437.93,1.0
AGG,rates,5745,2003-09-29,2026-07-30,22.8,97.62,733633326.85,1.0
VCIT,ig_bucket,4195,2009-11-23,2026-07-30,16.65,81.38,621306026.46,1.0
BND,rates,4858,2007-04-10,2026-07-30,19.28,72.42,521797260.93,0.9998
IEF,rates,6039,2002-07-30,2026-07-30,23.96,93.21,473773874.78,1.0
MUB,muni,4752,2007-09-10,2026-07-30,18.86,105.76,388695082.41,1.0
USHY,hy,2200,2017-10-26,2026-07-30,8.73,36.79,350950090.16,0.9941
VCLT,ig_bucket,4195,2009-11-23,2026-07-30,16.65,72.23,260039724.61,0.9993
SHY,rates,6039,2002-07-30,2026-07-30,23.96,82.01,251406404.43,1.0
VCSH,ig_bucket,4195,2009-11-23,2026-07-30,16.65,78.665,249067416.39,1.0
JNK,hy,4692,2007-12-04,2026-07-30,18.62,95.66,210859593.65,0.9998
JAAA,loan_clo,1451,2020-10-19,2026-07-30,5.76,50.67,205177391.9,1.0
SPIB,ig_bucket,4387,2009-02-20,2026-07-30,17.41,33.16,166677035.37,1.0
MBB,mbs,4874,2007-03-16,2026-07-30,19.34,93.29,158161791.91,0.9998
GOVT,rates,3628,2012-02-24,2026-07-30,14.4,22.505,149366000.98,0.9975
IGIB,ig_bucket,4918,2007-01-11,2026-07-30,19.52,52.35,127031097.79,0.9992
IEI,rates,4918,2007-01-11,2026-07-30,19.52,116.64,115201907.31,1.0
IGSB,ig_bucket,4918,2007-01-11,2026-07-30,19.52,52.18,114177995.01,1.0
BKLN,loan_clo,3875,2011-03-03,2026-07-30,15.38,20.38,111377877.92,1.0
SPHY,hy,3548,2012-06-19,2026-07-30,14.08,23.26,109329257.52,0.9966
IGLB,ig_bucket,4184,2009-12-09,2026-07-30,16.6,48.08,103775318.25,0.9931
PFF,preferred,4864,2007-03-30,2026-07-30,19.3,30.44,83609612.09,1.0
SPSB,ig_bucket,4168,2010-01-04,2026-07-30,16.54,29.96,81913252.09,1.0
TLH,rates,4918,2007-01-11,2026-07-30,19.52,97.09,74569780.54,1.0
VMBS,mbs,4195,2009-11-23,2026-07-30,16.65,46.25,57749196.67,0.9998
SHYG,hy,3214,2013-10-17,2026-07-30,12.75,42.14,57144642.49,0.9997
SJNK,hy,3598,2012-04-09,2026-07-30,14.28,24.85,54521910.67,1.0
SPLB,ig_bucket,4374,2009-03-11,2026-07-30,17.36,21.49,50805358.05,0.9979
SUB,muni,4449,2008-11-19,2026-07-30,17.65,106.14,42130999.46,1.0
SRLN,loan_clo,3351,2013-04-04,2026-07-30,13.3,40.39,41860818.16,1.0
HYD,muni,4397,2009-02-05,2026-07-30,17.45,50.27,37435804.99,1.0
EMLC,intl_em,4029,2010-07-23,2026-07-30,15.99,25.51,31911151.43,1.0
VWOB,intl_em,3309,2013-06-04,2026-07-30,13.13,65.87,28460065.17,1.0
PGX,preferred,4653,2008-01-31,2026-07-30,18.46,10.74,27796860.19,1.0
HYMB,muni,3845,2011-04-14,2026-07-30,15.26,24.93,25948857.29,0.9969
SPMB,mbs,4401,2009-01-30,2026-07-30,17.46,22.02,18883528.28,0.9852
TFI,muni,4749,2007-09-13,2026-07-30,18.85,45.0,17082000.0,1.0
ANGL,hy,3596,2012-04-11,2026-07-30,14.27,28.93,16965307.64,0.9917
FPE,preferred,3386,2013-02-12,2026-07-30,13.44,17.75,15964730.68,1.0
PFFA,preferred,2062,2018-05-16,2026-07-30,8.18,20.52,15877323.7,0.999
FALN,hy,2541,2016-06-21,2026-07-30,10.08,26.95,15307169.78,0.9858
PFFD,preferred,2230,2017-09-14,2026-07-30,8.85,18.52,12157343.18,1.0
JBBB,loan_clo,1140,2022-01-12,2026-07-30,4.52,47.45,10897115.58,1.0
SHM,muni,4724,2007-10-18,2026-07-30,18.75,47.61,10568945.97,0.9998
CLOI,loan_clo,1029,2022-06-23,2026-07-30,4.08,53.02,8439942.65,0.9961
FLHY,hy,2042,2018-06-14,2026-07-30,8.1,24.115,5521769.88,0.9412
HYGH,hy,3061,2014-05-29,2026-07-30,12.15,86.34,5087375.8,0.984
PCY,intl_em,4729,2007-10-11,2026-07-30,18.77,20.93,4079533.16,1.0
EMHY,intl_em,3601,2012-04-03,2026-07-30,14.29,40.19,2670164.12,0.9989
IBND,intl_em,4073,2010-05-20,2026-07-30,16.16,31.098,1235999.98,0.9993
CMBS,mbs,3633,2012-02-16,2026-07-30,14.42,48.26,1232640.04,0.9975
SEIX,loan_clo,1826,2019-04-25,2026-07-30,7.25,23.1695,1093151.99,0.8795
GNMA,mbs,3631,2012-02-21,2026-07-30,14.41,43.465,702719.97,0.9931
